procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 0  0        64024      3017136        20004       767212    0    0     0 298265 8556 4930   1   3  96   0   0 2018-11-21 02:03:55
 1  0        64024      3017152        20004       767216    0    0     0 297419 9263 4927   1   2  97   0   0 2018-11-21 02:03:58
 0  0        64016      3017184        20028       767296    0    0    27 298795 8868 4962   2   2  96   0   0 2018-11-21 02:04:01
 0  0        64016      3017492        20028       767300    0    0     0 299648 7879 4960   1   2  96   0   0 2018-11-21 02:04:04
 0  0        64016      3017572        20036       767300    0    0     0 297741 8097 4904   1   2  97   0   0 2018-11-21 02:04:07
 0  0        64016      3017944        20036       767300    0    0     0 301013 7981 4987   2   2  96   0   0 2018-11-21 02:04:10
 1  0        64016      3017944        20044       767304    0    0     0 302340 8164 4958   1   2  96   0   0 2018-11-21 02:04:13
 1  0        64016      3018168        20044       767304    0    0     0 300672 8109 5010   2   2  96   0   0 2018-11-21 02:04:16
 1  0        64016      3018020        20052       767304    0    0     0 300463 8135 4978   2   2  96   0   0 2018-11-21 02:04:19
 0  0        64016      3017944        20052       767308    0    0     0 300715 8180 4959   1   2  97   0   0 2018-11-21 02:04:22
 0  0        64016      3018068        20060       767308    0    0     0 298287 7916 4899   2   2  96   0   0 2018-11-21 02:04:25
 0  0        64016      3018084        20060       767312    0    0     0 301665 7961 4934   1   2  96   0   0 2018-11-21 02:04:29
 1  0        64016      3018012        20068       767312    0    0     0 300215 8305 4979   2   2  96   0   0 2018-11-21 02:04:32
 0  0        64016      3018020        20068       767312    0    0     0 299433 10256 5029   1   2  96   0   0 2018-11-21 02:04:35
 0  0        64016      3018084        20076       767316    0    0     0 297135 8031 4906   1   2  97   0   0 2018-11-21 02:04:38
 1  0        64016      3017276        20076       767320    0    0     0 297899 7922 4958   2   2  96   0   0 2018-11-21 02:04:41
 0  0        64016      3017316        20084       767320    0    0     0 297689 7935 4913   1   2  97   0   0 2018-11-21 02:04:44
 0  0        64016      3017656        20084       767320    0    0     0 299136 7886 4968   2   2  96   0   0 2018-11-21 02:04:47
 0  0        64016      3017152        20092       767320    0    0     0 297305 8039 4931   2   2  96   0   0 2018-11-21 02:04:50
 0  0        64016      3017152        20092       767324    0    0     0 297856 7882 4943   1   2  97   0   0 2018-11-21 02:04:53
 1  0        64016      3016360        20100       767324    0    0     0 300207 8020 4984   2   3  96   0   0 2018-11-21 02:04:56
 0  0        64016      3016384        20100       767324    0    0     0 297259 7848 4895   1   2  97   0   0 2018-11-21 02:04:59
 0  0        64008      3016088        20108       767480    3    0    31 297476 8121 4944   1   3  96   0   0 2018-11-21 02:05:02
 0  0        64008      3016532        20108       767480    0    0     0 294153 7982 4865   1   3  96   0   0 2018-11-21 02:05:05
 0  0        64008      3016516        20116       767488    0    0     0 300095 8098 4940   1   2  97   0   0 2018-11-21 02:05:08
 1  0        64008      3017136        20116       767488    0    0     0 298256 8262 4976   1   3  96   0   0 2018-11-21 02:05:11
 0  0        64008      3017112        20124       767488    0    0     0 295513 7792 4900   1   2  97   0   0 2018-11-21 02:05:14
 1  0        64008      3016996        20124       767488    0    0     0 303147 8058 4998   1   3  96   0   0 2018-11-21 02:05:17
 0  0        64008      3016904        20132       767488    0    0     0 297092 8072 4934   2   3  96   0   0 2018-11-21 02:05:20
 0  0        64008      3017112        20132       767492    0    0     0 298325 8069 4948   1   2  97   0   0 2018-11-21 02:05:23
