seconds,utilization (KB),
0,56527152,
3,51894160,
6,51892028,
9,51890228,
12,51888116,
15,51902436,
18,51904420,
21,51907028,
24,51910196,
27,51913676,
30,51916664,
33,51920404,
36,51924260,
39,51928580,
42,51932524,
45,51936872,
48,51940972,
51,51945616,
54,51949772,
57,51953800,
60,51958016,
63,51962320,
66,51966792,
69,51971636,
72,51975928,
75,51979152,
78,51982740,
81,51986196,
84,51989700,
87,51993412,
90,51997452,
93,52002384,
96,52006848,
99,52011536,
102,52016620,
105,52021216,
108,52025688,
111,52030052,
114,52034640,
117,52039296,
120,52043924,
123,52048180,
126,52052592,
129,52056644,
132,52061376,
135,52066128,
138,52070516,
141,52075080,
144,52079592,
147,52084156,
150,52088860,
153,52093440,
156,52098308,
159,52103020,
162,52107652,
165,52111776,
168,52115976,
171,52120720,
174,52125160,
177,52133384,
180,52136904,
183,52141216,
186,52144544,
189,52148640,
192,52153536,
195,52157196,
198,52161660,
201,52166360,
204,52171036,
207,52177180,
210,52181876,
213,52186668,
216,52191268,
219,52195528,
222,52200272,
225,52204872,
228,52209692,
231,52213984,
234,52218712,
237,52222944,
240,52227592,
243,52232248,
246,52236948,
249,52241668,
252,52245272,
255,52250180,
258,52254768,
261,52259628,
264,52264308,
267,52269128,
270,52273888,
273,52278288,
276,52282900,
279,52287588,
282,52292224,
285,52297432,
288,52302200,
291,52307076,
294,52311884,
297,52316356,
300,52320768,
303,52325192,
306,52329820,
309,52334508,
312,52338464,
315,52343052,
318,52347408,
321,52351764,
324,52356484,
327,52360976,
330,52365824,
333,52387740,
336,52407964,
339,52429620,
342,52449868,
345,52470956,
348,52491440,
351,52511676,
354,52528880,
357,52531764,
360,52535532,
363,52539260,
366,52542848,
369,52546452,
372,52550160,
375,52554244,
378,52557980,
381,52562104,
384,52565628,
387,52569512,
390,52573612,
393,52578364,
396,52583068,
399,52587616,
402,52592364,
405,52597168,
408,52601732,
411,52606484,
414,52611048,
417,52615508,
420,52620112,
423,52624692,
426,52629296,
429,52634008,
432,52639416,
435,52643968,
438,52647980,
441,52652728,
444,52657500,
447,52661964,
450,52666804,
453,52671220,
456,52675716,
459,52680312,
462,52685120,
465,52689848,
468,52694140,
471,52698484,
474,52703500,
477,52708152,
480,52712684,
483,52717228,
486,52721892,
489,52726620,
492,52731456,
495,52736192,
498,52740832,
501,52751304,
504,52755484,
507,52759352,
510,52763244,
513,52767584,
516,52771668,
519,52776296,
522,52780496,
525,52785052,
528,52789580,
531,52794244,
534,52798956,
537,52803684,
540,52808264,
543,52812944,
546,52817024,
549,52821364,
552,52825588,
555,52830044,
558,52834596,
561,52838820,
564,52843460,
567,52848316,
570,52852856,
573,52857120,
576,52860908,
579,52865784,
582,52870144,
585,52875060,
588,52879260,
591,52883808,
594,52887740,
597,52892076,
600,52896828,
603,52900904,
606,52905616,
609,52909840,
612,52914648,
615,52919080,
618,52923596,
621,52927844,
624,52932152,
627,52936540,
630,52940900,
633,52945420,
636,52949992,
639,52954316,
642,52958524,
645,52962740,
648,52966964,
651,52971460,
654,52975428,
657,52979644,
660,52989304,
663,52993084,
666,53000636,
669,53018288,
672,53039456,
675,53060140,
678,53081848,
681,53103144,
684,53121800,
687,53142136,
690,53155892,
693,53159464,
696,53162944,
699,53166656,
702,53170152,
705,53173608,
708,53177444,
711,53182024,
714,53184692,
717,53188380,
720,53192136,
723,53195428,
726,53199400,
729,53203576,
732,53208192,
735,53212480,
738,53216812,
741,53221188,
744,53225356,
747,53229848,
750,53234000,
753,53238320,
756,53242684,
759,53247024,
762,53251232,
765,53255804,
768,53260252,
771,53264500,
774,53268444,
777,53272784,
780,53277352,
783,53281768,
786,53286044,
789,53290324,
792,53294716,
795,53298684,
798,53302684,
801,53306852,
804,53311016,
807,53315268,
810,53319348,
813,53323572,
816,53327848,
819,53332328,
822,53336976,
825,53340672,
828,53345212,
831,53349268,
834,53346816,
837,53407788,
840,53468948,
843,53531676,
846,53576392,
849,53626348,
852,53688272,
855,53745776,
858,53804668,
861,53836792,
864,53851392,
867,53912440,
870,53968748,
873,54024888,
876,54081636,
879,54078676,
882,54117136,
885,54174676,
888,54233508,
891,54294732,
894,54304624,
897,54345716,
900,54407608,
903,54463652,
906,54523916,
909,54543240,
912,54604768,
915,54629936,
918,54655320,
921,54680084,
924,54704556,
927,54730300,
930,54755708,
933,54780788,
936,54804812,
939,54827912,
942,54852176,
945,54875616,
948,54900620,
951,54923920,
954,54947844,
957,54973040,
960,54996476,
963,55020176,
966,55043552,
969,55067072,
972,55090300,
975,55113468,
978,55137168,
981,55162200,
984,55189092,
987,55211688,
990,55235192,
993,55259860,
996,55283900,
999,55307544,
1002,55332880,
1005,55357300,
1008,55381040,
1011,55403856,
1014,55384008,
1017,55455380,
1020,55479344,
1023,55502772,
1026,55525400,
1029,55550328,
1032,55574704,
1035,55598828,
1038,55623172,
1041,55647272,
1044,55670548,
1047,55694188,
1050,55723804,
1053,55747716,
1056,55771420,
1059,55796680,
1062,55818948,
1065,55843384,
1068,55867808,
1071,55892560,
1074,55915820,
1077,55938684,
1080,55963860,
1083,55983768,
1086,56008484,
1089,56031100,
1092,56052940,
1095,56073236,
1098,56096164,
1101,56118528,
1104,56140324,
1107,56161956,
1110,56184160,
1113,56205828,
1116,56203308,
1119,56249568,
1122,56271536,
1125,56293764,
1128,56316628,
1131,56338984,
1134,56360412,
1137,56382072,
1140,56404096,
1143,56425524,
1146,56446856,
1149,56467912,
1152,56493732,
1155,56519448,
1158,56541132,
1161,56564228,
1164,56587044,
1167,56609496,
1170,56629460,
1173,56652644,
1176,56675380,
1179,56698228,
1182,56720068,
1185,56747548,
1188,56767952,
1191,56790912,
1194,56810544,
1197,56832740,
1200,56854348,
1203,56875668,
1206,56898316,
1209,56919372,
1212,56941152,
1215,56961488,
1218,56984076,
1221,57009372,
1224,57030528,
1227,57052108,
1230,57074536,
1233,57096124,
1236,57118072,
1239,57140864,
1242,57162316,
1245,57183156,
1248,57204032,
1251,57188468,
1254,57236416,
1257,57301640,
1260,57368044,
1263,57434332,
1266,57457096,
1269,57485368,
1272,57554480,
1275,57617644,
1278,57682752,
1281,57747712,
1284,57750536,
1287,57770472,
1290,57834324,
1293,57899396,
1296,57965376,
1299,58013440,
1302,58029292,
1305,58079352,
1308,58144452,
1311,58208976,
1314,58274532,
1317,58286668,
1320,58323812,
1323,58389112,
1326,58452556,
1329,58518884,
1332,58555160,
1335,58583660,
1338,58654328,
1341,58721756,
1344,58790668,
1347,58827048,
1350,58845752,
1353,58914424,
1356,58981860,
1359,59049440,
1362,59080756,
1365,59089812,
1368,59166184,
1371,59241172,
1374,59315276,
1377,59326044,
1380,59367480,
1383,59434356,
1386,59502188,
1389,59560532,
1392,59577008,
1395,59633704,
1398,59707432,
1401,59782288,
1404,59799916,
1407,59900100,
1410,59965448,
1413,60030144,
1416,60093812,
1419,60157364,
1422,60220704,
1425,60283808,
1428,60346404,
1431,60409812,
1434,60472276,
1437,60534928,
1440,60588752,
1443,60646696,
1446,60707556,
1449,60768536,
1452,60829984,
1455,60891040,
1458,60952916,
1461,61014452,
1464,61074764,
1467,61135368,
1470,61203496,
1473,61269736,
1476,61335476,
1479,61400476,
1482,61461408,
1485,61524748,
1488,61589972,
1491,61654212,
