seconds,utilization (KB),
0,38595044,
3,38607048,
6,38611008,
9,38613728,
12,38617456,
15,38621360,
18,38625172,
21,38628920,
24,38633564,
27,38637944,
30,38642928,
33,38646772,
36,38651716,
39,38656172,
42,38660736,
45,38665116,
48,38669696,
51,38673788,
54,38678392,
57,38681848,
60,38685712,
63,38689512,
66,38693720,
69,38697736,
72,38701944,
75,38706004,
78,38709996,
81,38714508,
84,38718824,
87,38723180,
90,38727512,
93,38731728,
96,38736572,
99,38740284,
102,38795212,
105,38830076,
108,38856760,
111,38884144,
114,38913920,
117,38943800,
120,38973936,
123,38999360,
126,39022060,
129,39043760,
132,39065840,
135,39091616,
138,39113936,
141,39101084,
144,39152512,
147,39225088,
150,39271196,
153,39294816,
156,39373176,
159,39412548,
162,39513364,
165,39584276,
168,39654532,
171,39725044,
174,39795636,
177,39865952,
180,39937684,
183,40010196,
186,40079968,
189,40151200,
192,40214888,
195,40190664,
198,40240140,
201,40310688,
204,40381628,
207,40452336,
210,40524064,
213,40595892,
216,40666304,
219,40735628,
222,40809552,
225,40882596,
228,40939004,
231,40939080,
234,40939040,
237,40937588,
240,40957400,
243,40957728,
246,40957876,
249,40958468,
252,40959312,
255,40959984,
258,40960704,
261,40961096,
264,40961404,
267,40962164,
270,40962552,
273,40963152,
276,40963036,
279,40963020,
282,40963036,
285,40963020,
288,40963044,
291,40963020,
294,40963020,
297,40963012,
300,40962896,
303,40962896,
306,40962880,
309,40962692,
312,40962684,
315,40962708,
318,40962668,
321,40962692,
324,40962228,
327,40962048,
330,40961800,
333,40962304,
336,40962016,
339,40961712,
342,40961588,
345,40961588,
348,40961460,
351,40961460,
354,40961336,
357,40961304,
360,40961304,
363,40961304,
366,40961304,
369,40961304,
372,40990884,
375,41034792,
378,41094336,
381,41096728,
384,41108368,
387,41127756,
390,36808408,
393,12844000,
396,4242984,
399,4241112,
402,4240548,
405,4242372,
408,4243560,
411,4244656,
414,4242360,
417,4242656,
420,4243600,
423,4243308,
426,4243960,
429,4244064,
432,4245044,
435,4245480,
438,4245232,
441,4244784,
444,4245064,
447,4244096,
450,4245836,
453,4245912,
456,4244416,
459,4245000,
462,4246340,
465,4247180,
468,4243752,
471,4244816,
474,4246496,
477,4245308,
480,4248916,
483,4249020,
486,4246456,
489,4248288,
492,4247648,
495,4247440,
498,4248860,
501,4250412,
504,4674504,
507,4672172,
510,4670196,
513,4668220,
516,4665980,
519,4664128,
522,4663120,
525,4663252,
