procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  0        26112      3344804        29108       413896    0    0  2046  5795   12   10  25   4  64   7   0 2018-11-29 18:39:05
 1  0        26104      3358776        29124       413888    8    0    43    76 2801 2949  13   5  82   0   0 2018-11-29 18:39:08
 2  0        26104      3418652        29136       337680    0    0    19    54 2064 1660  12   5  82   0   0 2018-11-29 18:39:11
 2  1        26104      3389508        30224       338348    0    0 12485   476 10327 9812   7  13  75   5   0 2018-11-29 18:39:14
 1  1        26104      3390016        29760       338384    0    0 13572    28 6317 5687   5  13  75   7   0 2018-11-29 18:39:17
 2  0        26104      3389372        30108       338156    0    0 13112    31 6343 5736   5  13  73   9   0 2018-11-29 18:39:20
 4  0        26104      3390560        29248       338256    0    0 16639    41 7861 6887   6  15  73   6   0 2018-11-29 18:39:23
 2  1        26104      3390288        29472       338256    0    0 17275    29 7905 6764   6  15  74   6   0 2018-11-29 18:39:26
 2  0        26104      3389760        29468       338168    0    0 16545    29 7589 6795   6  14  74   6   0 2018-11-29 18:39:29
 0  1        26104      3389420        30116       338240    0    0 17227    28 7549 6571   5  15  74   6   0 2018-11-29 18:39:32
 0  0        26104      3389744        30384       338240    0    0 16695    29 7590 6681   6  14  75   5   0 2018-11-29 18:39:35
 2  1        26104      3390396        29676       338244    0    0  8791    35 4743 4510   3   9  80   8   0 2018-11-29 18:39:38
 1  0        26104      3389764        30436       338244    0    0 14304    31 6928 6019   5  13  76   6   0 2018-11-29 18:39:41
 1  0        26104      3390648        29416       338188    0    0 17313    29 7725 6776   6  15  74   5   0 2018-11-29 18:39:44
 2  0        26104      3390428        29444       338248    0    0 15871    35 7471 6537   6  14  74   6   0 2018-11-29 18:39:47
 1  1        26104      3389312        30044       338124    0    0 16871    43 7659 6735   6  15  74   5   0 2018-11-29 18:39:50
 0  1        26104      3390016        29500       338256    0    0 16076    36 7422 6591   6  14  75   6   0 2018-11-29 18:39:53
 1  0        26104      3389520        30560       338240    0    0 16897    27 7568 6573   6  15  74   6   0 2018-11-29 18:39:56
 2  0        26104      3388280        30588       338240    0    0 17257    31 7848 6767   6  15  74   6   0 2018-11-29 18:39:59
 2  0        26104      3390136        29900       338272    0    0 16037   111 8639 7760   6  15  73   6   0 2018-11-29 18:40:02
 0  1        26104      3389104        30300       338272    0    0 16321    31 7716 6544   6  15  73   6   0 2018-11-29 18:40:05
 2  0        26104      3390336        29632       338280    0    0 16731    36 7827 6810   6  15  73   6   0 2018-11-29 18:40:08
 4  0        26104      3390560        29664       338280    0    0 17615    29 7704 6546   7  16  72   6   0 2018-11-29 18:40:11
 1  0        26104      3389728        29680       338224    0    0 17307    29 7479 6591   6  15  72   6   0 2018-11-29 18:40:14
 0  2        26104      3389340        30272       338280    0    0 17411    29 7855 6768   6  15  73   6   0 2018-11-29 18:40:17
 4  1        26104      3388980        30780       338280    0    0 16391    28 7283 6501   6  15  74   6   0 2018-11-29 18:40:20
 0  1        26104      3390352        29812       338280    0    0 16571    28 7649 6629   6  15  73   6   0 2018-11-29 18:40:23
 0  1        26104      3389444        29784       338288    0    0 12232    45 6101 5585   5  11  77   7   0 2018-11-29 18:40:26
 2  1        26104      3389448        30852       338288    3    0 10829    28 5322 4974   4  10  79   7   0 2018-11-29 18:40:29
