seconds,utilization (KB),
0,39885056,
3,39896340,
6,39899008,
9,39901700,
12,39904880,
15,39908600,
18,39912592,
21,39916740,
24,39920468,
27,39923844,
30,39927656,
33,39931500,
36,39935088,
39,39938824,
42,39942900,
45,39947044,
48,39950836,
51,39955208,
54,39959476,
57,39963592,
60,39967668,
63,39971616,
66,39975796,
69,39980044,
72,39984136,
75,39988072,
78,39992164,
81,39996404,
84,40000596,
87,40003648,
90,40007480,
93,40011464,
96,40015564,
99,40019564,
102,40023764,
105,40027640,
108,40031732,
111,40035916,
114,40039664,
117,40043088,
120,40046824,
123,40050412,
126,40053876,
129,40057868,
132,40061804,
135,40065264,
138,40069448,
141,40073324,
144,40077088,
147,40080948,
150,40084792,
153,40088956,
156,40093072,
159,40097296,
162,40101380,
165,40105372,
168,40109712,
171,40113556,
174,40117500,
177,40121368,
180,40125684,
183,40129800,
186,40193932,
189,40217008,
192,40241056,
195,40266684,
198,40292600,
201,40318352,
204,40344308,
207,40370892,
210,40399272,
213,40423952,
216,40450448,
219,40479372,
222,40499832,
225,40521284,
228,40541752,
231,40564248,
234,40585204,
237,40606716,
240,40628912,
243,40650232,
246,40671072,
249,40693632,
252,40691720,
255,40748428,
258,40823896,
261,40896788,
264,40969112,
267,40977408,
270,40985308,
273,41060196,
276,41128948,
279,41195420,
282,41203716,
285,41295600,
288,41360628,
291,41423068,
294,41485988,
297,41549660,
300,41612652,
303,41676828,
306,41740696,
309,41804200,
312,41862448,
315,41926084,
318,41984108,
321,42044844,
324,42104784,
327,42168000,
330,42231620,
333,42295852,
336,42358912,
339,42422960,
342,42384244,
345,42412492,
348,42478712,
351,42544660,
354,42613588,
357,42681008,
360,42752364,
363,42818468,
366,42887496,
369,42958280,
372,43028636,
375,43100400,
378,43169332,
381,43228552,
384,43299252,
387,43369892,
390,43436060,
393,43503964,
396,43574372,
399,43583940,
402,43588316,
405,43601996,
408,43602600,
411,43602768,
414,43603760,
417,43604440,
420,43605556,
423,43606424,
426,43607284,
429,43608032,
432,43608708,
435,43609700,
438,43610692,
441,43611808,
444,43612676,
447,43613544,
450,43614412,
453,43615404,
456,43615900,
459,43615628,
462,43615576,
465,43615576,
468,43615576,
471,43615576,
474,43615568,
477,43615576,
480,43615576,
483,43615576,
486,43615576,
489,43615576,
492,43615576,
495,43615328,
498,43615328,
501,43615080,
504,43615080,
507,43614808,
510,43614800,
513,43614796,
516,43614796,
519,43614672,
522,43614672,
525,43614796,
528,43614796,
531,43614672,
534,43614548,
537,43614548,
540,43614548,
543,43614548,
546,43614540,
549,43614548,
552,43614548,
555,43614548,
558,43614548,
561,43614548,
564,43614548,
567,43614944,
570,43614392,
573,43614144,
576,43613908,
579,43613908,
582,43614024,
585,43613908,
588,43613908,
591,43613908,
594,43613908,
597,43613908,
600,43613908,
603,43613908,
606,43613908,
609,43613908,
612,43613908,
615,43613908,
618,43639440,
621,43701348,
624,43761400,
627,43823160,
630,43875880,
633,43881160,
636,43881888,
639,43893876,
642,31092976,
645,11189760,
648,6176664,
651,6177976,
654,6174448,
657,6174680,
660,6176280,
663,6177204,
666,6174000,
669,6174612,
672,6173048,
675,6173424,
678,6173568,
681,6171628,
684,6172696,
687,6172508,
690,6174892,
693,6174776,
696,6176616,
699,6174792,
702,6172248,
705,6172012,
708,6173632,
711,6174772,
714,6173372,
717,6175728,
720,6174432,
723,6174236,
