procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  0            0       852828        12632      2917752    0    0    14   935  112  116   3   1  96   0   0 2019-03-12 08:31:18
 0  0            0       851672        12920      2917704    0    0   111    65 1023  601   3   2  95   0   0 2019-03-12 08:31:21
 1  4            0      3364852        12948       392296    0    0  1007   425 9522 1008   2   8  85   5   0 2019-03-12 08:31:24
 0  1            0      3372328        13828       392760    0    0  9239   573 18236 3044   5  10  76   9   0 2019-03-12 08:31:27
 2  0            0      3372352        13096       392712    0    0 15267    33 6397 3997   4  11  76  10   0 2019-03-12 08:31:30
 3  0            0      3372364        13156       392744    0    0 14371   175 10164 3953   4  11  76  10   0 2019-03-12 08:31:33
 2  0            0      3372304        13196       392748    0    0 16416    40 6763 4174   4  11  76   9   0 2019-03-12 08:31:36
 3  0            0      3369484        14304       392844    0    0 14267   216 11550 3824   3  10  77   9   0 2019-03-12 08:31:39
 3  1            0      3371528        14076       392832    0    0 16433    35 8125 4074   4  11  76  10   0 2019-03-12 08:31:42
 0  1            0      3371064        13348       392832    0    0 15525    35 6764 3933   3  11  77   9   0 2019-03-12 08:31:45
 2  0            0      3372252        13488       392800    0    0 14639   203 11777 3966   4  11  75  10   0 2019-03-12 08:31:48
 0  1            0      3372400        13452       392788    0    0 16036    48 7006 4013   3  11  77   9   0 2019-03-12 08:31:51
 0  1            0      3371524        13492       392788    0    0 15885    33 6774 3865   3  10  77  10   0 2019-03-12 08:31:54
 0  1            0      3370844        13948       392856    0    0 13660   468 17164 3878   4  11  75  10   0 2019-03-12 08:31:57
 2  0            0      3371224        13672       392856    0    0 15113    40 6452 3913   4  10  76  10   0 2019-03-12 08:32:00
 2  1            0      3370664        13744       392856    0    0 14251   315 15081 3929   4  11  75  10   0 2019-03-12 08:32:03
 3  1            0      3370392        13796       392864    0    0 15960    48 7654 4132   4  11  76  10   0 2019-03-12 08:32:06
 0  1            0      3371400        13844       392836    0    0 15868    37 6656 4070   4  11  76  10   0 2019-03-12 08:32:09
 2  0            0      3369984        14064       392876    0    0 14325   208 11664 3750   3  10  77   9   0 2019-03-12 08:32:12
 0  0            0      3370448        14464       392908    0    0 15732    33 6543 4046   4  11  76  10   0 2019-03-12 08:32:15
 2  1            0      3371308        13988       392908    0    0 15493    33 7036 4053   3  11  76  10   0 2019-03-12 08:32:18
 0  1            0      3370328        14364       393012    0    0 14651   232 11995 3795   3  11  76  10   0 2019-03-12 08:32:21
 4  0            0      3370044        14088       392972    0    0 15479    33 6848 3699   3  11  78   9   0 2019-03-12 08:32:24
 0  1            0      3370580        14632       393012    0    0 13243   448 16690 3567   3  11  76  10   0 2019-03-12 08:32:27
