seconds,non-idle,utilization,
0,7.730000000000004,3.5800000000000036,
3,3.239999999999995,3.069999999999995,
6,3.739999999999995,3.569999999999995,
9,3.4000000000000057,2.8400000000000056,
12,2.9599999999999937,2.8999999999999937,
15,2.9000000000000057,2.8400000000000056,
18,4.519999999999996,4.459999999999996,
21,0.9500000000000028,0.9500000000000028,
24,2.8400000000000034,2.6700000000000035,
27,4.189999999999998,4.189999999999998,
30,8.86,6.0,
33,11.840000000000003,10.890000000000004,
36,23.78,13.96,
39,21.03,8.690000000000001,
42,25.989999999999995,16.099999999999994,
45,24.730000000000004,15.660000000000004,
48,24.939999999999998,15.519999999999998,
51,18.819999999999993,6.539999999999994,
54,25.010000000000005,15.590000000000005,
57,25.650000000000006,16.350000000000005,
60,24.28,15.580000000000002,
63,24.310000000000002,15.430000000000001,
66,24.239999999999995,15.539999999999996,
69,24.439999999999998,15.349999999999998,
72,24.819999999999993,15.849999999999993,
75,24.439999999999998,15.349999999999998,
78,24.900000000000006,15.920000000000005,
81,24.689999999999998,15.419999999999998,
84,24.439999999999998,15.179999999999998,
87,21.590000000000003,10.090000000000003,
90,21.739999999999995,11.009999999999994,
93,24.049999999999997,14.729999999999997,
96,24.189999999999998,15.369999999999997,
99,24.620000000000005,15.470000000000004,
102,24.75,15.48,
105,24.680000000000007,15.930000000000007,
108,25.510000000000005,16.280000000000005,
111,24.700000000000003,15.730000000000002,
114,24.340000000000003,15.230000000000004,
117,23.939999999999998,15.069999999999999,
120,23.480000000000004,14.790000000000004,
123,22.540000000000006,15.030000000000006,
126,22.180000000000007,14.670000000000007,
129,22.319999999999993,15.029999999999994,
132,21.92,14.740000000000002,
135,20.989999999999995,14.109999999999996,
138,22.230000000000004,14.950000000000003,
141,22.019999999999996,14.509999999999996,
144,20.590000000000003,13.930000000000003,
147,6.109999999999999,5.9399999999999995,
150,3.0799999999999983,3.0199999999999982,
153,3.7099999999999937,3.7099999999999937,
156,3.3599999999999994,3.3599999999999994,
159,3.5400000000000063,3.5400000000000063,
162,3.950000000000003,3.950000000000003,
165,3.3599999999999994,3.3599999999999994,
168,3.8299999999999983,3.7699999999999982,
171,3.3100000000000023,3.3100000000000023,
174,4.359999999999999,4.3,
177,4.049999999999997,4.049999999999997,
180,3.8499999999999943,3.8499999999999943,
183,4.109999999999999,4.109999999999999,
186,3.819999999999993,3.639999999999993,
189,3.769999999999996,3.769999999999996,
192,4.0,3.94,
195,3.4200000000000017,3.4200000000000017,
198,3.6599999999999966,3.6599999999999966,
201,3.3499999999999943,3.3499999999999943,
204,4.060000000000002,4.060000000000002,
207,3.769999999999996,3.769999999999996,
210,3.480000000000004,3.480000000000004,
213,3.8299999999999983,3.8299999999999983,
216,3.1899999999999977,3.1299999999999977,
219,3.8900000000000006,3.8900000000000006,
222,3.8400000000000034,3.8400000000000034,
225,3.1899999999999977,3.1899999999999977,
228,3.719999999999999,3.719999999999999,
231,3.239999999999995,3.239999999999995,
234,4.1200000000000045,4.060000000000005,
237,3.6599999999999966,3.6599999999999966,
240,3.25,3.25,
243,3.6599999999999966,3.6599999999999966,
246,3.1899999999999977,3.1899999999999977,
249,4.010000000000005,4.010000000000005,
252,3.9399999999999977,3.8799999999999977,
255,3.4099999999999966,3.4099999999999966,
258,3.8299999999999983,3.8299999999999983,
261,3.299999999999997,3.299999999999997,
264,3.950000000000003,3.950000000000003,
267,3.9399999999999977,3.9399999999999977,
270,3.4200000000000017,3.3600000000000017,
273,4.230000000000004,4.230000000000004,
276,3.480000000000004,3.480000000000004,
279,3.769999999999996,3.769999999999996,
282,3.769999999999996,3.769999999999996,
285,3.480000000000004,3.480000000000004,
288,3.8299999999999983,3.7699999999999982,
291,3.3100000000000023,3.3100000000000023,
294,4.060000000000002,4.060000000000002,
297,3.5400000000000063,3.5400000000000063,
