seconds,non-idle (%),utilization (%),
0,4.739999999999995,4.739999999999995,
3,1.3449999999999847,1.3449999999999847,
6,4.450000000000003,4.1750000000000025,
9,9.848333333333315,6.358333333333315,
12,11.511666666666656,10.443333333333323,
15,12.941666666666663,6.151666666666663,
18,23.671666666666667,11.695,
21,21.825000000000003,8.69666666666667,
24,24.443333333333342,15.02500000000001,
27,24.790000000000006,15.74833333333334,
30,23.01166666666667,12.75166666666667,
33,19.638333333333335,7.915000000000001,
36,24.49666666666667,15.060000000000002,
39,24.823333333333338,15.378333333333337,
42,24.556666666666658,15.118333333333325,
45,23.14,14.35,
48,24.480000000000004,15.096666666666671,
51,24.251666666666665,15.128333333333332,
54,24.451666666666668,14.885000000000002,
57,25.00833333333334,15.73333333333334,
60,24.218333333333348,15.405000000000014,
63,24.64999999999999,15.114999999999993,
66,19.051666666666662,7.446666666666664,
69,22.510000000000005,11.78666666666667,
72,24.355000000000004,15.300000000000004,
75,24.480000000000004,15.220000000000004,
78,24.159999999999982,14.964999999999982,
81,25.62166666666667,16.016666666666673,
84,25.208333333333343,15.726666666666675,
87,24.00333333333333,15.143333333333329,
90,23.405000000000015,14.261666666666683,
93,23.528333333333336,14.468333333333335,
96,24.79166666666667,15.268333333333336,
99,23.700000000000003,14.55666666666667,
102,23.444999999999993,15.54666666666666,
105,22.138333333333335,15.003333333333334,
108,23.655,15.493333333333334,
111,22.038333333333327,14.444999999999993,
114,22.448333333333338,14.825000000000003,
117,22.465000000000003,15.030000000000005,
120,21.591666666666683,14.531666666666684,
123,17.466666666666654,11.879999999999988,
126,6.853333333333339,6.631666666666672,
129,3.786666666666676,3.731666666666676,
132,3.933333333333337,3.933333333333337,
135,4.068333333333328,4.068333333333328,
138,4.436666666666667,4.436666666666667,
141,3.796666666666667,3.796666666666667,
144,3.691666666666663,3.691666666666663,
147,4.288333333333313,4.288333333333313,
150,3.549999999999997,3.549999999999997,
153,4.648333333333326,4.593333333333327,
156,3.9766666666666453,3.9766666666666453,
159,3.896666666666661,3.7283333333333277,
162,4.62166666666667,4.62166666666667,
165,4.035000000000011,4.035000000000011,
168,4.4483333333333235,4.4483333333333235,
171,4.365000000000009,4.310000000000009,
174,3.8666666666666742,3.8666666666666742,
177,4.449999999999989,4.449999999999989,
180,4.158333333333346,4.158333333333346,
183,4.311666666666667,4.311666666666667,
186,4.7450000000000045,4.7450000000000045,
189,4.240000000000009,4.1833333333333425,
192,4.341666666666654,4.341666666666654,
195,3.7800000000000153,3.7800000000000153,
198,4.776666666666685,4.776666666666685,
201,4.716666666666654,4.661666666666655,
204,3.8033333333333417,3.8033333333333417,
207,4.023333333333326,4.023333333333326,
210,3.339999999999989,3.339999999999989,
