Linux 4.4.132-0404132-generic (pl2) 	2018-10-22 	_x86_64_	(24 CPU)

12:38:40 AM   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  Command
12:38:43 AM     0     61060         -    0.00   36.42    0.00   36.42     7  /bin/bash ./run_db_bench.sh --backup readrandommergerandom 
12:38:43 AM     0         -     61060    0.00   36.42    0.00   36.42     7  |__/bin/bash ./run_db_bench.sh --backup readrandommergerandom 
12:38:43 AM     0     61250         -    5.96    8.94    0.00   14.90    11  /home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:43 AM     0         -     61250    5.30    5.30    0.00   10.60    11  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size

12:38:43 AM   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  Command
12:38:46 AM     0     61250         -   29.67   12.67    0.00   42.33     9  /home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:46 AM     0         -     61250    2.33    5.33    0.00    7.67     9  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:46 AM     0         -     61251    3.33    0.67    0.00    4.00    11  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:46 AM     0         -     61252    3.00    1.00    0.00    4.00     7  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:46 AM     0         -     61253    3.00    1.00    0.00    4.00     4  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:46 AM     0         -     61254    4.00    0.67    0.00    4.67     6  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:46 AM     0         -     61255    3.00    1.00    0.00    4.00    20  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:46 AM     0         -     61256    3.33    0.67    0.00    4.00     5  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:46 AM     0         -     61274    3.33    0.67    0.00    4.00    10  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:46 AM     0         -     61315    0.33    0.00    0.00    0.33     2  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:46 AM     0         -     61317    0.33    0.00    0.00    0.33     0  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:46 AM     0         -     61319    0.33    0.00    0.00    0.33    18  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:46 AM     0         -     61320    0.33    0.00    0.00    0.33     1  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:46 AM     0         -     61321    0.33    0.00    0.00    0.33     0  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:46 AM     0         -     61322    0.00    0.33    0.00    0.33     0  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:46 AM     0         -     61323    0.33    0.00    0.00    0.33     2  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:46 AM     0         -     61324    0.33    0.00    0.00    0.33     0  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size

12:38:46 AM   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  Command
12:38:49 AM     0     61250         -   63.00   19.33    0.00   82.33     9  /home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:49 AM     0         -     61251    8.67    2.33    0.00   11.00    11  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:49 AM     0         -     61252    8.33    1.67    0.00   10.00     7  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:49 AM     0         -     61253    8.67    2.33    0.00   11.00     4  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:49 AM     0         -     61254    9.00    2.00    0.00   11.00     6  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:49 AM     0         -     61255    8.00    3.00    0.00   11.00    20  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:49 AM     0         -     61256    9.67    2.00    0.00   11.67     4  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:38:49 AM     0         -     61274    8.33    2.00    0.00   10.33    10  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
