Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
1000          W    28                    0.006%            0.004%
952           W    27                    0.006%            0.004%
584           W    27                    0.006%            0.004%
576           W    27                    0.006%            0.004%
640           W    26                    0.005%            0.003%
544           W    26                    0.005%            0.003%
256           W    26                    0.005%            0.003%
800           W    25                    0.005%            0.003%
37            W    25                    0.005%            0.003%
912           W    24                    0.005%            0.003%
872           W    24                    0.005%            0.003%
848           W    24                    0.005%            0.003%
832           W    24                    0.005%            0.003%
632           W    24                    0.005%            0.003%
752           W    23                    0.005%            0.003%
624           W    23                    0.005%            0.003%
776           W    22                    0.005%            0.003%
672           W    22                    0.005%            0.003%
720           W    21                    0.004%            0.003%
39            W    21                    0.004%            0.003%
696           W    20                    0.004%            0.003%
35            W    20                    0.004%            0.003%
744           W    19                    0.004%            0.002%
608           W    19                    0.004%            0.002%
600           W    19                    0.004%            0.002%
496           W    19                    0.004%            0.002%
480           W    19                    0.004%            0.002%
712           W    18                    0.004%            0.002%
880           W    17                    0.004%            0.002%
808           W    17                    0.004%            0.002%
704           W    16                    0.003%            0.002%
29            W    16                    0.003%            0.002%
760           W    15                    0.003%            0.002%
41            W    15                    0.003%            0.002%
31            W    15                    0.003%            0.002%
1008          W    15                    0.003%            0.002%
664           W    14                    0.003%            0.002%
960           W    13                    0.003%            0.002%
688           W    13                    0.003%            0.002%
432           W    13                    0.003%            0.002%
34            W    12                    0.003%            0.002%
33            W    12                    0.003%            0.002%
680           W    11                    0.002%            0.001%
616           W    11                    0.002%            0.001%
36            W    10                    0.002%            0.001%
42            W    9                     0.002%            0.001%
38            W    9                     0.002%            0.001%
856           W    8                     0.002%            0.001%
1             R    8                     0.003%            0.001%
944           W    7                     0.001%            0.001%
43            W    7                     0.001%            0.001%
62            W    5                     0.001%            0.001%
45            W    5                     0.001%            0.001%
44            W    5                     0.001%            0.001%
57            W    3                     0.001%            0.000%
55            W    3                     0.001%            0.000%
54            W    3                     0.001%            0.000%
53            W    3                     0.001%            0.000%
46            W    3                     0.001%            0.000%
63            W    2                     0.000%            0.000%
52            W    2                     0.000%            0.000%
50            W    2                     0.000%            0.000%
49            W    2                     0.000%            0.000%
47            W    2                     0.000%            0.000%
60            W    1                     0.000%            0.000%
59            W    1                     0.000%            0.000%
51            W    1                     0.000%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 296862         [ 38.485%]
Total write I/Os: 474503         [ 61.515%]
Total read sectors : 78858560    [ 15.982%,   38505.156MB]
Total write sectors: 414569974   [ 84.018%,  202426.745MB]
