Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
976           W    22                    0.005%            0.003%
864           W    22                    0.005%            0.003%
840           W    22                    0.005%            0.003%
696           W    22                    0.005%            0.003%
672           W    22                    0.005%            0.003%
512           W    22                    0.005%            0.003%
872           W    21                    0.005%            0.003%
800           W    21                    0.005%            0.003%
608           W    21                    0.005%            0.003%
488           W    21                    0.005%            0.003%
440           W    21                    0.005%            0.003%
392           W    21                    0.005%            0.003%
432           W    20                    0.005%            0.003%
424           W    20                    0.005%            0.003%
952           W    19                    0.004%            0.003%
848           W    19                    0.004%            0.003%
832           W    19                    0.004%            0.003%
30            W    19                    0.004%            0.003%
592           W    18                    0.004%            0.003%
688           W    17                    0.004%            0.003%
632           W    17                    0.004%            0.003%
616           W    17                    0.004%            0.003%
520           W    17                    0.004%            0.003%
34            W    17                    0.004%            0.003%
31            W    17                    0.004%            0.003%
680           W    16                    0.004%            0.002%
776           W    15                    0.003%            0.002%
720           W    15                    0.003%            0.002%
704           W    15                    0.003%            0.002%
664           W    15                    0.003%            0.002%
640           W    15                    0.003%            0.002%
36            W    15                    0.003%            0.002%
808           W    14                    0.003%            0.002%
624           W    14                    0.003%            0.002%
856           W    13                    0.003%            0.002%
760           W    13                    0.003%            0.002%
584           W    13                    0.003%            0.002%
37            W    13                    0.003%            0.002%
576           W    12                    0.003%            0.002%
35            W    12                    0.003%            0.002%
960           W    11                    0.003%            0.002%
944           W    11                    0.003%            0.002%
44            W    11                    0.003%            0.002%
712           W    10                    0.002%            0.002%
39            W    10                    0.002%            0.002%
38            W    10                    0.002%            0.002%
42            W    9                     0.002%            0.001%
33            W    9                     0.002%            0.001%
880           W    8                     0.002%            0.001%
45            W    8                     0.002%            0.001%
1             R    8                     0.004%            0.001%
1008          W    6                     0.001%            0.001%
43            W    5                     0.001%            0.001%
47            W    4                     0.001%            0.001%
41            W    4                     0.001%            0.001%
63            W    3                     0.001%            0.000%
62            W    3                     0.001%            0.000%
57            W    3                     0.001%            0.000%
54            W    3                     0.001%            0.000%
49            W    3                     0.001%            0.000%
46            W    3                     0.001%            0.000%
52            W    2                     0.000%            0.000%
61            W    1                     0.000%            0.000%
58            W    1                     0.000%            0.000%
55            W    1                     0.000%            0.000%
53            W    1                     0.000%            0.000%
51            W    1                     0.000%            0.000%
50            W    1                     0.000%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 204666         [ 31.864%]
Total write I/Os: 437636         [ 68.136%]
Total read sectors : 53285000    [ 12.192%,   26018.066MB]
Total write sectors: 383755145   [ 87.808%,  187380.442MB]
