Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
528           W    14                    0.002%            0.000%
328           W    14                    0.002%            0.000%
192           W    14                    0.002%            0.000%
936           W    13                    0.002%            0.000%
864           W    13                    0.002%            0.000%
800           W    13                    0.002%            0.000%
616           W    13                    0.002%            0.000%
600           W    13                    0.002%            0.000%
592           W    13                    0.002%            0.000%
58            W    13                    0.002%            0.000%
53            W    13                    0.002%            0.000%
52            W    13                    0.002%            0.000%
480           W    13                    0.002%            0.000%
248           W    13                    0.002%            0.000%
808           W    12                    0.002%            0.000%
792           W    12                    0.002%            0.000%
776           W    12                    0.002%            0.000%
656           W    12                    0.002%            0.000%
544           W    12                    0.002%            0.000%
520           W    12                    0.002%            0.000%
504           W    12                    0.002%            0.000%
296           W    12                    0.002%            0.000%
240           W    12                    0.002%            0.000%
176           W    12                    0.002%            0.000%
104           W    12                    0.002%            0.000%
856           W    11                    0.002%            0.000%
840           W    11                    0.002%            0.000%
824           W    11                    0.002%            0.000%
816           W    11                    0.002%            0.000%
512           W    11                    0.002%            0.000%
50            W    11                    0.002%            0.000%
472           W    11                    0.002%            0.000%
456           W    11                    0.002%            0.000%
368           W    11                    0.002%            0.000%
360           W    11                    0.002%            0.000%
352           W    11                    0.002%            0.000%
944           W    10                    0.002%            0.000%
832           W    10                    0.002%            0.000%
632           W    10                    0.002%            0.000%
624           W    10                    0.002%            0.000%
448           W    10                    0.002%            0.000%
280           W    10                    0.002%            0.000%
184           W    10                    0.002%            0.000%
760           W    9                     0.002%            0.000%
664           W    9                     0.002%            0.000%
640           W    9                     0.002%            0.000%
63            W    9                     0.002%            0.000%
584           W    9                     0.002%            0.000%
552           W    9                     0.002%            0.000%
1             R    9                     0.000%            0.000%
704           W    8                     0.001%            0.000%
688           W    8                     0.001%            0.000%
62            W    8                     0.001%            0.000%
488           W    8                     0.001%            0.000%
384           W    8                     0.001%            0.000%
336           W    8                     0.001%            0.000%
672           W    7                     0.001%            0.000%
61            W    6                     0.001%            0.000%
608           W    6                     0.001%            0.000%
576           W    6                     0.001%            0.000%
55            W    6                     0.001%            0.000%
54            W    6                     0.001%            0.000%
536           W    6                     0.001%            0.000%
208           W    6                     0.001%            0.000%
57            W    5                     0.001%            0.000%
464           W    5                     0.001%            0.000%
696           W    4                     0.001%            0.000%
680           W    4                     0.001%            0.000%
648           W    4                     0.001%            0.000%
60            W    3                     0.001%            0.000%
59            W    1                     0.000%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 4438037        [ 88.717%]
Total write I/Os: 564443         [ 11.283%]
Total read sectors : 211318401   [ 30.356%,  103182.813MB]
Total write sectors: 484815190   [ 69.644%,  236726.167MB]
