Linux 4.4.132-0404132-generic (pl2) 	2018-10-17 	_x86_64_	(24 CPU)

08:41:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:41:14 PM    7   55.18    0.00   16.72    0.00    0.00    0.00    0.00    0.00    0.00   28.09
08:41:14 PM    8   51.51    0.00   13.04    0.00    0.00    0.00    0.00    0.00    0.00   35.45
08:41:14 PM    9   53.02    0.00   16.78    0.00    0.00    0.00    0.00    0.00    0.00   30.20
08:41:14 PM   10   56.04    0.00   19.13    0.00    0.00    0.00    0.00    0.00    0.00   24.83
08:41:14 PM   11   60.33    0.00   20.33    0.00    0.00    0.00    0.00    0.00    0.00   19.33
08:41:14 PM   12   25.25    0.00   11.96    0.00    0.00    0.00    0.00    0.00    0.00   62.79
08:41:14 PM   13   12.00    0.00    4.33    0.00    0.00    0.00    0.00    0.00    0.00   83.67
08:41:14 PM   14    1.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.67
08:41:14 PM   15   16.39    0.00    6.02    0.00    0.00    0.00    0.00    0.00    0.00   77.59
08:41:14 PM   16    6.67    0.00    2.33    0.33    0.00    0.00    0.00    0.00    0.00   90.67
08:41:14 PM   17   31.00    0.00   11.33    0.33    0.00    0.00    0.00    0.00    0.00   57.33
08:41:14 PM   18   44.82    0.00   12.71    0.00    0.00    0.00    0.00    0.00    0.00   42.47
08:41:14 PM   19   29.90    0.00   11.30    0.00    0.00    0.00    0.00    0.00    0.00   58.80
08:41:14 PM   20   43.33    0.00   15.33    0.33    0.00    0.00    0.00    0.00    0.00   41.00
08:41:14 PM   21   44.15    0.00   15.05    0.67    0.00    0.00    0.00    0.00    0.00   40.13
08:41:14 PM   22   43.81    0.00   12.04    0.00    0.00    0.00    0.00    0.00    0.00   44.15
08:41:14 PM   23   22.48    0.00    7.72    0.00    0.00    0.00    0.00    0.00    0.00   69.80


Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   34.66    0.00   12.45    0.39    0.00    0.00    0.00    0.00    0.00   52.49
Average:       0   44.41    0.00   16.55    0.11    0.00    0.11    0.00    0.00    0.00   38.81
Average:       1   45.61    0.00   16.91    0.00    0.00    0.00    0.00    0.00    0.00   37.49
Average:       2   38.68    0.00   19.62    0.00    0.00    0.00    0.00    0.00    0.00   41.69
Average:       3   38.93    0.00   14.46    0.22    0.00    0.00    0.00    0.00    0.00   46.38
Average:       4   48.11    0.00   17.93    0.22    0.00    0.00    0.00    0.00    0.00   33.74
Average:       5   45.54    0.00   16.85    4.02    0.00    0.00    0.00    0.00    0.00   33.59
Average:       6   48.78    0.00   15.56    0.00    0.00    0.00    0.00    0.00    0.00   35.67
Average:       7   47.50    0.00   15.68    0.00    0.00    0.00    0.00    0.00    0.00   36.82
Average:       8   41.89    0.00   12.78    0.78    0.00    0.00    0.00    0.00    0.00   44.56
Average:       9   45.93    0.00   14.05    0.11    0.00    0.00    0.00    0.00    0.00   39.91
Average:      10   51.51    0.00   16.54    0.00    0.00    0.00    0.00    0.00    0.00   31.96
Average:      11   45.27    0.00   15.46    0.00    0.00    0.00    0.00    0.00    0.00   39.27
Average:      12   31.11    0.00   12.56    0.00    0.00    0.00    0.00    0.00    0.00   56.33
Average:      13   17.35    0.00    6.23    0.78    0.00    0.00    0.00    0.00    0.00   75.64
Average:      14   23.83    0.00    9.02    0.22    0.00    0.00    0.00    0.00    0.00   66.93
Average:      15   26.03    0.00    8.79    0.67    0.00    0.00    0.00    0.00    0.00   64.52
Average:      16   17.02    0.00    7.45    0.56    0.00    0.00    0.00    0.00    0.00   74.97
Average:      17   17.69    0.00    6.79    0.56    0.00    0.00    0.00    0.00    0.00   74.97
Average:      18   28.48    0.00    8.12    0.00    0.00    0.00    0.00    0.00    0.00   63.40
Average:      19   23.44    0.00   10.67    0.11    0.00    0.00    0.00    0.00    0.00   65.78
Average:      20   35.97    0.00   13.47    0.11    0.00    0.00    0.00    0.00    0.00   50.45
Average:      21   25.92    0.00    9.34    0.22    0.00    0.00    0.00    0.00    0.00   64.52
Average:      22   18.60    0.00    5.01    0.00    0.00    0.00    0.00    0.00    0.00   76.39
Average:      23   24.61    0.00    9.02    0.89    0.00    0.00    0.00    0.00    0.00   65.48
