seconds,non-idle (%),utilization (%),
0,1.9691666666666805,1.5804166666666806,
3,4.347500000000011,4.347500000000011,
6,4.467083333333335,4.425416666666668,
9,4.334166666666661,4.334166666666661,
12,4.417500000000004,4.389583333333337,
15,4.347916666666677,4.320416666666677,
18,4.362083333333331,4.362083333333331,
21,4.586250000000007,4.056666666666674,
24,4.402083333333337,4.1945833333333375,
27,4.375833333333333,4.3479166666666655,
30,4.43416666666667,4.40666666666667,
33,4.396250000000009,4.396250000000009,
36,4.470416666666665,4.429166666666665,
39,4.3754166666666805,4.3754166666666805,
42,4.362083333333317,4.32041666666665,
45,4.402499999999989,4.374583333333322,
48,4.2933333333333366,4.2933333333333366,
51,4.569166666666661,4.264999999999994,
54,4.348333333333343,4.348333333333343,
57,4.809583333333322,4.169999999999988,
60,4.403333333333322,4.375416666666655,
63,4.361249999999998,4.361249999999998,
66,4.447083333333339,4.405833333333339,
69,4.3345833333333275,4.3345833333333275,
72,4.376249999999985,4.348333333333318,
75,4.601666666666674,4.295416666666673,
78,4.31874999999998,4.31874999999998,
81,4.430833333333339,4.291666666666673,
84,4.3075000000000045,4.3075000000000045,
87,4.389166666666668,4.361250000000001,
90,4.408333333333346,4.366666666666679,
93,4.373750000000015,4.373750000000015,
96,4.389166666666668,4.347500000000001,
99,4.333333333333329,4.333333333333329,
102,4.830833333333331,4.526666666666665,
105,4.389999999999986,4.334166666666653,
108,4.347916666666677,4.347916666666677,
111,4.285000000000011,4.243333333333344,
114,4.349166666666676,4.349166666666676,
117,4.305416666666659,4.263749999999992,
120,4.616249999999994,4.394999999999993,
123,4.652499999999989,4.485833333333322,
126,5.546249999999986,4.375416666666653,
129,6.149583333333339,4.446250000000006,
132,4.607500000000002,4.510416666666669,
135,4.537916666666661,4.496249999999994,
138,4.501249999999985,4.501249999999985,
141,5.251666666666665,4.960833333333332,
144,5.426249999999982,5.426249999999982,
147,5.50958333333331,5.2458333333333105,
150,4.48833333333333,2.83583333333333,
153,5.938749999999985,5.938749999999985,
156,5.600833333333341,5.085000000000008,
159,5.803333333333342,3.2920833333333417,
162,4.332916666666662,4.319166666666662,
165,4.375833333333333,4.334166666666666,
168,4.346666666666678,4.346666666666678,
171,4.390000000000001,4.362500000000001,
174,4.3345833333333275,4.3345833333333275,
177,4.430416666666659,4.388749999999992,
180,4.416250000000005,4.388333333333338,
183,4.40291666666667,4.40291666666667,
186,4.3754166666666805,4.3475000000000135,
189,5.1870833333333195,4.222499999999986,
192,10.254166666666649,3.2466666666666493,
195,11.00666666666666,5.217083333333328,
198,7.250833333333333,5.553333333333333,
