Generating events file /home/ljishen/ycsb-rocksdb/analysis/scripts/events.dat
Extracting sectors from events file to /home/ljishen/ycsb-rocksdb/analysis/scripts/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT       RATIO
---------------------------------------------
24            R    2381850     64.671%
16            R    987925      26.824%
8             R    144376      3.920%
1024          W    136161      3.697%
32            R    23341       0.634%
256           R    5447        0.148%
0             W    1778        0.048%
8             W    196         0.005%
3             W    186         0.005%
5             W    171         0.005%
4             W    149         0.004%
14            W    120         0.003%
16            W    101         0.003%
32            W    98          0.003%
13            W    72          0.002%
15            W    66          0.002%
1             W    62          0.002%
12            W    53          0.001%
2             W    46          0.001%
40            W    34          0.001%
48            W    32          0.001%
56            W    18          0.000%
72            R    16          0.000%
64            W    16          0.000%
248           R    15          0.000%
48            R    14          0.000%
0             R    14          0.000%
856           W    11          0.000%
40            R    11          0.000%
80            R    10          0.000%
736           W    10          0.000%
240           R    10          0.000%
232           R    10          0.000%
960           W    9           0.000%
832           W    9           0.000%
56            R    9           0.000%
1             R    9           0.000%
11            W    9           0.000%
104           R    9           0.000%
976           W    8           0.000%
904           W    8           0.000%
840           W    8           0.000%
296           W    8           0.000%
216           R    8           0.000%
728           W    7           0.000%
688           W    7           0.000%
440           W    7           0.000%
424           W    7           0.000%
224           R    7           0.000%
216           W    7           0.000%
160           W    7           0.000%
144           W    7           0.000%
128           R    7           0.000%
96            W    6           0.000%
96            R    6           0.000%
88            R    6           0.000%
872           W    6           0.000%
800           W    6           0.000%
760           W    6           0.000%
672           W    6           0.000%
64            R    6           0.000%
472           W    6           0.000%
384           W    6           0.000%
376           W    6           0.000%
360           W    6           0.000%
336           W    6           0.000%
288           W    6           0.000%
176           W    6           0.000%
168           W    6           0.000%
112           W    6           0.000%
944           W    5           0.000%
880           W    5           0.000%
824           W    5           0.000%
808           W    5           0.000%
72            W    5           0.000%
720           W    5           0.000%
696           W    5           0.000%
648           W    5           0.000%
616           W    5           0.000%
552           W    5           0.000%
400           W    5           0.000%
312           W    5           0.000%
272           W    5           0.000%
24            W    5           0.000%
240           W    5           0.000%
208           R    5           0.000%
184           R    5           0.000%
136           W    5           0.000%
120           W    5           0.000%
112           R    5           0.000%
1016          W    5           0.000%
88            W    4           0.000%
864           W    4           0.000%
664           W    4           0.000%
640           W    4           0.000%
624           W    4           0.000%
584           W    4           0.000%
528           W    4           0.000%
520           W    4           0.000%
512           W    4           0.000%
504           W    4           0.000%
488           W    4           0.000%
432           W    4           0.000%
416           W    4           0.000%
352           W    4           0.000%
344           W    4           0.000%
328           W    4           0.000%
200           W    4           0.000%
152           R    4           0.000%
136           R    4           0.000%
128           W    4           0.000%
104           W    4           0.000%
1008          W    4           0.000%
1000          W    4           0.000%
992           W    3           0.000%
928           W    3           0.000%
816           W    3           0.000%
80            W    3           0.000%
792           W    3           0.000%
784           W    3           0.000%
768           W    3           0.000%
656           W    3           0.000%
632           W    3           0.000%
592           W    3           0.000%
576           W    3           0.000%
560           W    3           0.000%
496           W    3           0.000%
464           W    3           0.000%
456           W    3           0.000%
408           W    3           0.000%
320           W    3           0.000%
280           W    3           0.000%
264           W    3           0.000%
232           W    3           0.000%
200           R    3           0.000%
176           R    3           0.000%
168           R    3           0.000%
120           R    3           0.000%
9             W    2           0.000%
984           W    2           0.000%
968           W    2           0.000%
952           W    2           0.000%
936           W    2           0.000%
920           W    2           0.000%
896           W    2           0.000%
888           W    2           0.000%
848           W    2           0.000%
7             W    2           0.000%
776           W    2           0.000%
712           W    2           0.000%
704           W    2           0.000%
680           W    2           0.000%
600           W    2           0.000%
568           W    2           0.000%
544           W    2           0.000%
536           W    2           0.000%
392           W    2           0.000%
368           W    2           0.000%
304           W    2           0.000%
256           W    2           0.000%
248           W    2           0.000%
192           W    2           0.000%
192           R    2           0.000%
152           W    2           0.000%
10            W    2           0.000%
912           W    1           0.000%
752           W    1           0.000%
744           W    1           0.000%
608           W    1           0.000%
480           W    1           0.000%
224           W    1           0.000%
208           W    1           0.000%
184           W    1           0.000%
17            W    1           0.000%
144           R    1           0.000%


SUMMARY (512-byte sectors)
---------------------------------------------
Total read sectors : 76292377   (37252.137MB, 35.320%)
Total write sectors: 139712509  (68218.999MB, 64.680%)
