Generating events file /home/ljishen/ycsb-rocksdb/analysis/scripts/events.dat
Extracting sectors from events file to /home/ljishen/ycsb-rocksdb/analysis/scripts/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT       RATIO
---------------------------------------------
24            R    2367706     64.765%
16            R    980482      26.819%
8             R    141685      3.876%
1024          W    131935      3.609%
32            R    23350       0.639%
256           R    6652        0.182%
0             W    1807        0.049%
8             W    202         0.006%
3             W    192         0.005%
5             W    176         0.005%
4             W    157         0.004%
16            W    131         0.004%
14            W    120         0.003%
32            W    108         0.003%
2             W    73          0.002%
13            W    72          0.002%
15            W    65          0.002%
248           R    47          0.001%
1             W    47          0.001%
240           R    42          0.001%
12            W    40          0.001%
48            W    38          0.001%
232           R    38          0.001%
40            W    30          0.001%
56            W    28          0.001%
224           R    24          0.001%
216           R    22          0.001%
64            W    13          0.000%
488           W    12          0.000%
0             R    12          0.000%
896           W    11          0.000%
712           W    9           0.000%
664           W    9           0.000%
624           W    9           0.000%
320           W    9           0.000%
1000          W    9           0.000%
992           W    8           0.000%
904           W    8           0.000%
768           W    8           0.000%
608           W    8           0.000%
264           W    8           0.000%
200           R    8           0.000%
872           W    7           0.000%
856           W    7           0.000%
496           W    7           0.000%
392           W    7           0.000%
336           W    7           0.000%
24            W    7           0.000%
11            W    7           0.000%
936           W    6           0.000%
840           W    6           0.000%
744           W    6           0.000%
736           W    6           0.000%
688           W    6           0.000%
680           W    6           0.000%
456           W    6           0.000%
440           W    6           0.000%
208           R    6           0.000%
1             R    6           0.000%
192           R    6           0.000%
160           W    6           0.000%
9             W    5           0.000%
96            W    5           0.000%
968           W    5           0.000%
952           W    5           0.000%
944           W    5           0.000%
920           W    5           0.000%
88            W    5           0.000%
888           W    5           0.000%
776           W    5           0.000%
632           W    5           0.000%
560           W    5           0.000%
512           W    5           0.000%
480           W    5           0.000%
464           W    5           0.000%
416           W    5           0.000%
408           W    5           0.000%
368           W    5           0.000%
312           W    5           0.000%
296           W    5           0.000%
240           W    5           0.000%
184           W    5           0.000%
128           R    5           0.000%
10            W    5           0.000%
984           W    4           0.000%
880           W    4           0.000%
752           W    4           0.000%
72            W    4           0.000%
648           W    4           0.000%
584           W    4           0.000%
576           W    4           0.000%
528           W    4           0.000%
520           W    4           0.000%
472           W    4           0.000%
424           W    4           0.000%
208           W    4           0.000%
184           R    4           0.000%
144           W    4           0.000%
120           W    4           0.000%
1008          W    4           0.000%
928           W    3           0.000%
864           W    3           0.000%
848           W    3           0.000%
816           W    3           0.000%
80            W    3           0.000%
808           W    3           0.000%
800           W    3           0.000%
784           W    3           0.000%
728           W    3           0.000%
704           W    3           0.000%
656           W    3           0.000%
640           W    3           0.000%
616           W    3           0.000%
600           W    3           0.000%
544           W    3           0.000%
504           W    3           0.000%
448           W    3           0.000%
400           W    3           0.000%
344           W    3           0.000%
328           W    3           0.000%
288           W    3           0.000%
272           W    3           0.000%
256           W    3           0.000%
248           W    3           0.000%
232           W    3           0.000%
224           W    3           0.000%
200           W    3           0.000%
192           W    3           0.000%
176           R    3           0.000%
168           W    3           0.000%
136           W    3           0.000%
128           W    3           0.000%
1016          W    3           0.000%
976           W    2           0.000%
960           W    2           0.000%
912           W    2           0.000%
824           W    2           0.000%
792           W    2           0.000%
696           W    2           0.000%
672           W    2           0.000%
568           W    2           0.000%
536           W    2           0.000%
384           W    2           0.000%
360           W    2           0.000%
352           W    2           0.000%
176           W    2           0.000%
112           W    2           0.000%
104           W    2           0.000%
88            R    1           0.000%
832           W    1           0.000%
7             W    1           0.000%
720           W    1           0.000%
6             W    1           0.000%
592           W    1           0.000%
552           W    1           0.000%
48            R    1           0.000%
432           W    1           0.000%
376           W    1           0.000%
304           W    1           0.000%
216           W    1           0.000%
18            W    1           0.000%
168           R    1           0.000%
160           R    1           0.000%
104           R    1           0.000%


SUMMARY (512-byte sectors)
---------------------------------------------
Total read sectors : 76143406   (37179.397MB, 35.994%)
Total write sectors: 135401847  (66114.183MB, 64.006%)
