seconds,utilization (KB),
1320,3760260,
1323,3760260,
1326,3760260,
1329,3760260,
1332,3760260,
1335,3760260,
1338,3760252,
1341,3760260,
1344,3760260,
1347,3760384,
1350,3760384,
1353,3760376,
1356,3760508,
1359,3760508,
1362,3760500,
1365,3760508,
1368,3760508,
1371,3760252,
1374,3760260,
1377,3760260,
1380,3760252,
1383,3760260,
1386,3760244,
1389,3760260,
1392,3760260,
1395,3760260,
1398,3760260,
1401,3760260,
1404,3760260,
1407,3760260,
1410,3760260,
1413,3760252,
1416,3760260,
1419,3760260,
1422,3760252,
1425,3760268,
1428,3760260,
1431,3760268,
1434,3760260,
1437,3760392,
1440,3760376,
1443,3760400,
1446,3760352,
1449,3760424,
1452,3760284,
1455,3760300,
1458,3760284,
1461,3760300,
1464,3760284,
1467,3760300,
1470,3760292,
1473,3760300,
1476,3760292,
1479,3760292,
1482,3760284,
1485,3760300,
1488,3760292,
1491,3760300,
1494,3760408,
1497,3762068,
1500,3761652,
1503,3761524,
1506,3761564,
1509,3761524,
1512,3761500,
1515,3761564,
1518,3761564,
1521,3761564,
1524,3761508,
1527,3761500,
1530,3761564,
1533,3761572,
1536,3761524,
1539,3761440,
1542,3761376,
1545,3761440,
1548,3761400,
1551,3761376,
1554,3761276,
1557,3761400,
1560,3761376,
1563,3761400,
1566,3761368,
1569,3761376,
1572,3761400,
1575,3761268,
1578,3761276,
1581,3761276,
1584,3761268,
1587,3761276,
1590,3761276,
1593,3761276,
1596,3761276,
1599,3761276,
1602,3761276,
1605,3761276,
1608,3761276,
1611,3761268,
1614,3761260,
1617,3761268,
1620,3761396,
1623,3761396,
1626,3761404,
1629,3778912,
1632,3778912,
1635,3778912,
1638,3778912,
1641,3778920,
1644,3778920,
1647,3778912,
1650,3778920,
1653,3778928,
1656,3778920,
1659,3778920,
1662,3778920,
1665,3778880,
1668,3778888,
1671,3778888,
1674,3778888,
1677,3778888,
1680,3778888,
1683,3778888,
1686,3778888,
1689,3779012,
1692,3779012,
1695,3779012,
1698,3779136,
1701,3779136,
1704,3779136,
1707,3779152,
1710,3779184,
1713,3779012,
1716,3778936,
1719,3778844,
1722,3778908,
1725,3778852,
1728,3778900,
1731,3778860,
1734,3778892,
1737,3778860,
1740,3778900,
1743,3778860,
1746,3778892,
1749,3778876,
1752,3778884,
1755,3779008,
1758,3778992,
1761,3779008,
1764,3779000,
1767,3778992,
1770,3779024,
1773,3778992,
1776,3779024,
1779,3778992,
1782,3779008,
1785,3778992,
1788,3779024,
1791,3778984,
1794,3779016,
1797,3778852,
1800,3778844,
1803,3778868,
1806,3778844,
1809,3778860,
1812,3778844,
1815,3778992,
1818,3779176,
1821,3779184,
1824,3779144,
1827,3779176,
1830,3779168,
1833,3779168,
1836,3779176,
1839,3779160,
1842,3779160,
1845,3779152,
1848,3779136,
1851,3779112,
1854,3779144,
1857,3779120,
1860,3779136,
1863,3779128,
1866,3779120,
1869,3779128,
1872,3779128,
1875,3778988,
1878,3778948,
1881,3778940,
1884,3778940,
1887,3778988,
1890,3779056,
1893,3779112,
1896,3779104,
1899,3779120,
1902,3779088,
1905,3779088,
1908,3779120,
1911,3779272,
1914,3779328,
1917,3779312,
