procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  1            0      2194244        17452      1053432    0    0     0 69888 11247 19694  13   8  76   2   0 2019-03-27 05:54:28
 1  1            0      1846744        17468      1355460    0    0     0 99347 15223 14709  16  12  67   4   0 2019-03-27 05:54:31
 1  0            0      2034252        17476      1148412    0    0     0    69 10349 18249  13  10  76   1   0 2019-03-27 05:54:34
 1  0            0      1986860        17488      1195692    0    0     4   195 19133 16458  12   8  79   1   0 2019-03-27 05:54:37
 1  0            0      1943344        17500      1239232    0    0     0    43 8202 16608  10   6  83   0   0 2019-03-27 05:54:40
 1  0            0      1899812        17500      1282796    0    0     0     8 7492 15884  11   6  83   0   0 2019-03-27 05:54:43
 1  1            0      1856064        17508      1326332    0    0     0 84673 17285 19877  11   9  71   9   0 2019-03-27 05:54:46
 4  0            0      1913056        17516      1410008    0    0     0 86423 7464 12406  17  12  68   3   0 2019-03-27 05:54:49
 2  0            0      1681176        17520      1639868    0    0     0 75445 10488 9812  23  13  63   1   0 2019-03-27 05:54:52
 2  0            0      1869776        17528      1450412    0    0     0  7483 9122 16231  14   9  77   0   0 2019-03-27 05:54:55
 1  0            0      1807956        17528      1500416    0    0     0     5 9638 18973  12   6  83   0   0 2019-03-27 05:54:58
 2  0            0      1721772        17544      1543992    0    0     0   169 13795 15084  13   6  81   1   0 2019-03-27 05:55:01
 2  1            0      1637120        17676      1586100    0    0    47 84479 8767 16963  12   8  70   9   0 2019-03-27 05:55:04
 2  0            0      1541672        17688      1643392    0    0     1 91827 17816 11411  16  13  64   6   0 2019-03-27 05:55:07
 3  0            0      1251196        17696      1915780    0    0     0 77379 6058 10310  21  12  66   0   0 2019-03-27 05:55:10
 1  0            0      1450676        17696      1715576    0    0     0   304 11744 21139  14   8  78   0   0 2019-03-27 05:55:13
 1  0            0      1404120        17704      1762072    0    0     0   167 14496 20282  10   5  84   1   0 2019-03-27 05:55:16
 1  0            0      1360836        17704      1805620    0    0     0     0 10319 19769   8   6  86   0   0 2019-03-27 05:55:19
 2  0            0      1295624        17712      1869020    0    0     0 90317 10270 20506  11   8  73   8   0 2019-03-27 05:55:22
 3  0            0      1339396        17712      1915596    0    0     0 86775 7427 12577  17  12  68   3   0 2019-03-27 05:55:25
 3  0            0      1065528        17720      2187956    0    0     0 76819 9036 9810  21  12  66   1   0 2019-03-27 05:55:28
 1  0            0      1272648        17728      1980212    0    0     0   155 12467 17944  12   9  79   0   0 2019-03-27 05:55:31
 1  0            0      1229196        17728      2023760    0    0     0     9 7655 16637   9   7  85   0   0 2019-03-27 05:55:34
 1  0            0      1178500        17740      2067344    0    0     0   124 11866 18245   9   9  82   1   0 2019-03-27 05:55:37
 3  0            0      1043544        17740      2158968    0    0     0 100528 9930 17469   9  10  75   6   0 2019-03-27 05:55:40
 3  0            0      1216972        17740      1941036    0    0    16 73372 13348 13753  15  12  66   6   0 2019-03-27 05:55:43
 1  2            0       968656        17748      2177448    0    0     8 101648 6471 10027  21  13  65   1   0 2019-03-27 05:55:46
 1  0            0      1199252        17748      1947544    0    0     0 17300 9103 17025  13   9  75   3   0 2019-03-27 05:55:49
 1  0            0      1153892        17756      1993188    0    0     0   155 12223 17385  14   6  80   0   0 2019-03-27 05:55:52
 1  0            0      1109996        17756      2036864    0    0     0     0 8433 16761  13   6  81   0   0 2019-03-27 05:55:55
 2  0            0       968356        17788      2177856    0    0     0 116413 13935 17463  16  11  67   6   0 2019-03-27 05:55:58
 3  0            0      1173628        17788      2068624    0    0     5 56531 7084 12452  18  12  68   2   0 2019-03-27 05:56:01
 1  0            0      1261836        17796      1978976    0    0    59 42127 7901 13596  19  11  67   2   0 2019-03-27 05:56:04
 1  0            0      1210288        17804      2030800    0    0   200   268 16975 18778  14   9  77   0   0 2019-03-27 05:56:07
 1  0            0      1166492        17816      2074348    0    0     0    37 7468 16000  10   9  81   0   0 2019-03-27 05:56:10
 1  0            0      1113396        17816      2117988    0    0     0    15 6256 14562  11   9  81   0   0 2019-03-27 05:56:13
 2  0            0       982120        17824      2207652    0    0     0 100035 15029 19113  12  11  68  10   0 2019-03-27 05:56:16
 2  0            0      1174184        17824      1975524    0    0     0 82691 7274 12113  17  13  68   3   0 2019-03-27 05:56:19
 3  0            0       968492        17832      2169792    0    0     0 71359 9212 9973  20  13  66   1   0 2019-03-27 05:56:22
 1  0            0      1176288        17832      1962344    0    0     0     3 8316 16928  12   8  80   0   0 2019-03-27 05:56:25
 2  0            0      1129696        17840      2008744    0    0     0    17 10622 19388  12   9  79   0   0 2019-03-27 05:56:28
 1  0            0      1084272        17848      2052296    0    0     0    11 11077 19817   9  11  80   0   0 2019-03-27 05:56:31
 2  0            0       969152        17848      2166968    0    0     0 110911 16407 18360  13  11  67   9   0 2019-03-27 05:56:34
 2  0            0      1260112        17860      1973868    0    0     0 77471 12481 10585  19  14  63   4   0 2019-03-27 05:56:37
 1  0            0      1277236        17860      1954200    0    0     0 65733 6048 11043  20  12  67   1   0 2019-03-27 05:56:40
 2  0            0      1226164        17868      2005688    0    0     0    35 9412 17345  13   8  79   0   0 2019-03-27 05:56:43
 1  0            0      1176032        17868      2055772    0    0     0     0 8435 17327  11   8  81   0   0 2019-03-27 05:56:46
 1  0            0      1121256        17876      2099364    0    0     0   175 13107 15650  10   9  79   2   0 2019-03-27 05:56:49
 2  0            0       966812        17884      2212088    0    0     0 114927 11439 18091  12  11  69   8   0 2019-03-27 05:56:52
 3  0            0      1155240        17884      1985536    0    0     0 73139 6934 12121  17  12  68   3   0 2019-03-27 05:56:55
 1  0            0      1225900        17892      1905368    0    0     0 65892 10220 10226  20  13  66   1   0 2019-03-27 05:56:58
 1  0            0      1170364        17892      1960824    0    0     0     0 10321 19393  13   8  79   0   0 2019-03-27 05:57:01
 1  0            0      1126420        17900      2004456    0    0     0   205 11871 16128  10   7  82   0   0 2019-03-27 05:57:04
 3  0            0      1082328        17912      2047972    0    0     0    36 7590 15277  12   8  80   0   0 2019-03-27 05:57:07
 2  0            0       967700        17912      2162428    0    0     0 118253 9433 16785  14  10  70   6   0 2019-03-27 05:57:10
 2  0            0      1261700        17920      1966728    0    0     0 69929 12194 12207  17  13  65   5   0 2019-03-27 05:57:13
 1  0            0      1278876        17920      1947832    0    0     0 65735 5662 10441  20  12  68   1   0 2019-03-27 05:57:16
 1  0            0      1224064        17928      2003020    0    0     0   208 15769 18918  13   8  77   2   0 2019-03-27 05:57:19
 1  0            0      1180540        17928      2046560    0    0     0     0 6997 16070  11   4  84   0   0 2019-03-27 05:57:22
 1  1            0      1120628        17936      2089972    0    0     0 27655 6616 14872  11   5  83   0   0 2019-03-27 05:57:25
 2  0            0       966236        17944      2203976    0    0     0 89745 12803 17208  13   9  68  10   0 2019-03-27 05:57:28
 1  1            0      1138712        17944      1991868    0    0     0 73841 6718 11564  17  12  67   3   0 2019-03-27 05:57:31
 2  0            0      1221372        17952      1901072    0    0     0 62692 6601 10690  20  12  68   1   0 2019-03-27 05:57:34
 1  0            0      1174360        17952      1947888    0    0     0     0 8656 15785  14   8  78   0   0 2019-03-27 05:57:37
 1  0            0      1120268        17964      1999732    0    0     0   225 15054 17249  12   7  80   0   0 2019-03-27 05:57:40
 1  1            0      1071696        17964      2043372    0    0     0 27728 8487 14914  10   7  82   1   0 2019-03-27 05:57:43
 2  0            0       966116        17972      2148816    0    0     0 101193 9504 18055  12  10  70   8   0 2019-03-27 05:57:46
 1  0            0      1247404        17988      1966252    0    0     0 62453 10976 12453  16  12  68   4   0 2019-03-27 05:57:49
 3  0            0      1273172        17988      1939216    0    0     0 62569 6085 11168  19  12  68   1   0 2019-03-27 05:57:52
 2  0            0      1220340        18000      1991932    0    0     0   192 14994 19681  12   8  79   1   0 2019-03-27 05:57:55
 1  0            0      1176908        18000      2035244    0    0     0     3 8031 17121   8   7  85   0   0 2019-03-27 05:57:58
 1  1            0      1117460        18008      2078740    0    0     0 33119 9042 17471   8   7  84   0   0 2019-03-27 05:58:01
 2  0            0       964456        18016      2192556    0    0     0 99349 14259 16238  14  11  67   8   0 2019-03-27 05:58:04
 4  0            0      1130672        18016      1988128    0    0   199 60621 8003 12832  18  13  65   3   0 2019-03-27 05:58:07
 2  0            0      1218668        18028      1894580    0    0     0 61048 15069 10777  20  13  65   2   0 2019-03-27 05:58:10
 3  0            0      1170000        18028      1942852    0    0     0   125 15013 16586  12   8  78   1   0 2019-03-27 05:58:13
 1  0            0      1117408        18036      1995248    0    0     0    16 11388 18395  13   7  80   0   0 2019-03-27 05:58:16
 1  1            0      1073540        18036      2038864    0    0     0 33249 15636 18539  14   6  78   2   0 2019-03-27 05:58:19
 2  0            0       965588        18044      2141416    0    0     0 100171 7873 14835  14  10  70   6   0 2019-03-27 05:58:22
 2  0            0      1224660        18052      1980832    0    0     0 63761 10944 12957  17  13  66   4   0 2019-03-27 05:58:25
 1  0            0      1268400        18052      1936152    0    0     0 56772 6210 11430  19  12  69   1   0 2019-03-27 05:58:28
 0  1            0      1226980        18060      1976548    0    0     0 42352 11476 14466  10   7  80   3   0 2019-03-27 05:58:31
 0  0            0      1352428        18060      1976512    0    0     0 12612 5773 2052   1   2  93   4   0 2019-03-27 05:58:34
 1  0            0      1344784        18068      1976660    0    0     0    40 1472 2101   2   1  97   0   0 2019-03-27 05:58:37
 1  0            0      1332224        21340      1985916    0    0  3768   140 7835 3691  12   4  80   4   0 2019-03-27 05:58:40
 0  0            0      1709544        21560      1978992    0    0   280    71 2148 2436   5   3  92   0   0 2019-03-27 05:58:43
 0  0            0      1709584        21572      1978996    0    0     0    49 1202 1935   1   1  99   0   0 2019-03-27 05:58:46
 0  0            0      1709532        21572      1979004    0    0     0   168 7974 2063   1   2  96   1   0 2019-03-27 05:58:49
 0  0            0      1709564        21580      1979004    0    0     0    24 1251 1934   1   1  99   0   0 2019-03-27 05:58:52
 0  0            0      1709280        21580      1979008    0    0     0    44 2123 1977   1   1  98   0   0 2019-03-27 05:58:55
 0  0            0      1709576        21588      1979016    0    0     0    17 1744 1983   1   1  98   0   0 2019-03-27 05:58:58
 0  0            0      1709512        21588      1979024    0    0     0   124 5730 1974   1   1  98   0   0 2019-03-27 05:59:01
 0  0            0      1709828        21596      1979032    0    0     0    24 1395 2020   1   1  98   0   0 2019-03-27 05:59:04
 0  0            0      1709732        21604      1979032    0    0     0     9 1179 1929   1   1  99   0   0 2019-03-27 05:59:07
 0  0            0      1709552        21604      1979032    0    0     0   148 6679 1952   1   1  98   0   0 2019-03-27 05:59:10
 0  0            0      1709568        21612      1979032    0    0     0    37 1276 1958   1   1  98   0   0 2019-03-27 05:59:13
 0  0            0      1709680        21612      1979044    0    0     0   109 4689 1898   1   1  98   0   0 2019-03-27 05:59:16
 0  0            0      1709492        21620      1979048    0    0     0    15 1263 1908   1   1  98   0   0 2019-03-27 05:59:19
