seconds,utilization (KB),
0,37451612,
3,37454656,
6,37458412,
9,37462752,
12,37467152,
15,37471492,
18,37476584,
21,37480676,
24,37484676,
27,37489016,
30,37492776,
33,37496744,
36,37501084,
39,37505236,
42,37509452,
45,37513864,
48,37518320,
51,37522164,
54,37527364,
57,37532324,
60,37537168,
63,37542088,
66,37546544,
69,37550756,
72,37555344,
75,37559808,
78,37564064,
81,37568280,
84,37572672,
87,37577260,
90,37581600,
93,37586176,
96,37590764,
99,37642300,
102,37702180,
105,37763340,
108,37807680,
111,37841208,
114,37869596,
117,37900632,
120,37932908,
123,37964652,
126,37995768,
129,38018792,
132,38050604,
135,38079168,
138,38106128,
141,38135720,
144,38164828,
147,38193476,
150,38179896,
153,38250820,
156,38322136,
159,38370240,
162,38369124,
165,38437000,
168,38503012,
171,38533300,
174,38605920,
177,38673732,
180,38741692,
183,38807628,
186,38873164,
189,38939408,
192,39006904,
195,39073268,
198,39139708,
201,39199064,
204,39261076,
207,39326080,
210,39311668,
213,39369760,
216,39432300,
219,39494880,
222,39559272,
225,39624712,
228,39691740,
231,39759568,
234,39826976,
237,39895224,
240,39964504,
243,40031896,
246,40068964,
249,40066980,
252,40078152,
255,40078524,
258,40078704,
261,40078980,
264,40079820,
267,40080688,
270,40081328,
273,40082560,
276,40083636,
279,40084148,
282,40085040,
285,40086180,
288,40087172,
291,40088200,
294,40088844,
297,40088636,
300,40088544,
303,40088380,
306,40088404,
309,40088264,
312,40088140,
315,40088008,
318,40088064,
321,40087908,
324,40087932,
327,40087908,
330,40087876,
333,40087744,
336,40087768,
339,40087736,
342,40087760,
345,40087744,
348,40087760,
351,40087736,
354,40087768,
357,40087768,
360,40087736,
363,40087728,
366,40087728,
369,40087712,
372,40087736,
375,40087704,
378,40087728,
381,40087720,
384,40087720,
387,40087672,
390,40087712,
393,40087632,
396,40087664,
399,40087656,
402,40087688,
405,40087680,
408,40087704,
411,40087640,
414,40077920,
417,40105164,
420,40103244,
423,40124044,
426,14934640,
429,4133348,
432,4132580,
435,4131664,
438,4131616,
441,4132104,
444,4131476,
447,4132928,
450,4132316,
453,4132836,
456,4132260,
459,4134592,
462,4133016,
465,4135428,
468,4136020,
471,4134268,
474,4136480,
477,4135668,
480,4135588,
483,4136752,
486,4136888,
489,4136604,
492,4137084,
495,4138292,
498,4136308,
501,4134992,
504,4134400,
507,4132800,
510,4135460,
513,4133492,
516,4133532,
519,4134748,
