procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  0        57928       844276        17800      2962076    0    0  3128  7569    4    2  35   5  52   7   0 2018-11-24 08:45:22
 0  0        57928       844080        17872      2961996    0    0    29     0 1167  853   2   2  96   0   0 2018-11-24 08:45:25
 1  0        57928      2841656        17888       952120    1    0   581    43 1646 1032   1   8  90   0   0 2018-11-24 08:45:28
 0  1        57928      3432396        18248       361392    3    0  4312   428 15194 14305   3   7  85   5   0 2018-11-24 08:45:31
 2  1        57928      3432100        18016       361376    0    0  9388    27 4679 4018   5   9  74  12   0 2018-11-24 08:45:34
 1  1        57928      3432776        18004       361368    0    0 13316    29 6249 5381   6  10  72  11   0 2018-11-24 08:45:37
 3  0        57928      3432748        18036       361372    0    0 11695    33 6635 5861   5  10  73  11   0 2018-11-24 08:45:40
 2  0        57928      3432480        18068       361368    0    0 16676    27 7810 6518   8  13  70   9   0 2018-11-24 08:45:43
 2  0        57928      3431868        18620       361372    0    0 16627    29 8418 7398   8  13  69   9   0 2018-11-24 08:45:46
 0  1        57928      3432160        18464       361372    0    0 13067    31 6333 5424   6  11  73  10   0 2018-11-24 08:45:49
 0  1        57928      3431128        18868       361372    0    0  9940    27 4674 4061   5   9  74  12   0 2018-11-24 08:45:52
 2  0        57928      3431636        18304       361344    0    0 15531    40 8684 7510   7  13  71   9   0 2018-11-24 08:45:55
 4  0        57928      3432084        18264       361376    0    0 16344    29 7669 6653   8  13  70   9   0 2018-11-24 08:45:58
 2  0        57928      3432472        18308       361372    0    0 15905    32 7770 6629   8  13  70   9   0 2018-11-24 08:46:01
 0  1        57920      3431280        18940       361452    3    0 15383   132 12220 11008   7  13  71   8   0 2018-11-24 08:46:04
 0  1        57920      3431148        19092       361456    0    0 17263    35 8187 7031   8  14  69   9   0 2018-11-24 08:46:07
 1  2        57920      3431808        18464       361428    0    0 17004    33 8673 7549   8  13  69   9   0 2018-11-24 08:46:10
 0  1        57920      3431340        19028       361428    0    0  7079    27 3792 3233   3   6  78  12   0 2018-11-24 08:46:13
 1  1        57920      3431396        18504       361428    0    0 14975    31 7186 5997   7  12  72   9   0 2018-11-24 08:46:16
 0  1        57920      3431388        19228       361428    0    0 17179    28 8521 7279   8  13  69   9   0 2018-11-24 08:46:19
 1  1        57920      3431748        18608       361428    0    0 16721    28 7780 6693   8  14  70   9   0 2018-11-24 08:46:22
 1  0        57920      3431500        18608       361436    0    0 16940    35 7954 6828   8  13  70   9   0 2018-11-24 08:46:25
 3  1        57920      3432164        18644       361432    0    0 16875    28 8672 7459   8  13  70   9   0 2018-11-24 08:46:28
 1  1        57920      3431068        18688       361352    0    0 15960    27 7383 6272   8  13  70   9   0 2018-11-24 08:46:31
 1  0        57920      3431960        18720       361416    0    0 16219    29 7941 6735   8  13  70   9   0 2018-11-24 08:46:34
 3  0        57920      3432320        18752       361412    0    0 16251    27 7518 6392   8  13  70   9   0 2018-11-24 08:46:37
 2  1        57920      3430476        18792       361416    0    0 16205    29 8215 7332   8  13  70   9   0 2018-11-24 08:46:40
 0  1        57920      3430792        19512       361424    0    0 16407    48 7883 6722   8  13  70   9   0 2018-11-24 08:46:43
 2  0        57920      3431576        18852       361424    0    0 16021    27 8458 7233   8  13  71   9   0 2018-11-24 08:46:46
 1  1        57920      3432048        18888       361428    0    0 16277    33 7803 6612   8  13  71   9   0 2018-11-24 08:46:49
 1  1        57920      3431376        18996       361432    0    0 16639    36 7867 6832   8  13  70   9   0 2018-11-24 08:46:52
 1  1        57920      3431552        18960       361432    0    0 16220    27 8016 7250   8  13  70   9   0 2018-11-24 08:46:55
 2  0        57920      3429360        20048       361436    0    0 17300    41 8144 6970   8  13  69   9   0 2018-11-24 08:46:58
 2  0        57920      3431076        19032       361472    0    0 15537    27 7412 6455   8  13  71   8   0 2018-11-24 08:47:01
 2  1        57916      3431352        19176       361888    1    0 15257   133 11313 10275   7  13  71   9   0 2018-11-24 08:47:04
 0  1        57916      3429076        20168       361888    0    0 16875    27 7401 6390   8  13  70   9   0 2018-11-24 08:47:07
 0  1        57916      3429668        19740       361888    0    0 15979    31 10549 9576   8  13  70   8   0 2018-11-24 08:47:10
 4  0        57916      3431312        19196       361892    0    0 16355    36 7893 6607   9  13  69   9   0 2018-11-24 08:47:13
 1  1        57916      3429864        19356       361924    0    0 16953    27 10956 9672   8  13  70   9   0 2018-11-24 08:47:16
 0  1        57916      3429636        19840       361892    0    0 16783    28 7690 6669   8  13  70   9   0 2018-11-24 08:47:19
 2  1        57916      3429748        19300       361892    0    0 15972    33 10506 9159   8  13  70   9   0 2018-11-24 08:47:22
 1  1        57916      3430492        19340       361896    0    0 17259    29 8082 6908   9  14  69   9   0 2018-11-24 08:47:25
 2  1        57916      3430432        20416       361896    0    0 17612    28 7874 6917   8  13  69   9   0 2018-11-24 08:47:28
 1  0        57916      3248692        19392       544488    0    0  8540    20 7105 6293   5   9  83   4   0 2018-11-24 08:47:31
 1  0        57916      3016552        19392       771392    0    0   352 270123 7313 4632   2   3  95   0   0 2018-11-24 08:47:34
 0  0        57916      3016456        19404       771392    0    0     0 301909 8349 5138   1   2  96   0   0 2018-11-24 08:47:37
 0  0        57916      3015996        19404       771392    0    0     0 300843 8188 4989   2   2  96   0   0 2018-11-24 08:47:40
 0  0        57916      3016132        19412       771392    0    0     0 299440 7886 5122   1   2  97   0   0 2018-11-24 08:47:43
 1  0        57916      3016100        19412       771396    0    0     0 300544 8184 4996   1   2  96   0   0 2018-11-24 08:47:46
 0  0        57916      3015464        19420       771396    0    0     0 299867 7872 5066   1   2  96   0   0 2018-11-24 08:47:49
 0  0        57916      3015568        19420       771396    0    0     0 302464 7813 5017   1   2  97   0   0 2018-11-24 08:47:52
 0  0        57916      3015620        19428       771396    0    0     0 299696 7962 5156   1   2  96   0   0 2018-11-24 08:47:55
 0  0        57916      3015668        19428       771396    0    0     0 303360 7727 5028   1   2  97   0   0 2018-11-24 08:47:58
 0  0        57916      3015356        19436       771404    0    0     0 300548 12410 9715   1   3  96   0   0 2018-11-24 08:48:01
 0  0        57916      3015932        19452       771604    0    0    67 303127 7851 5407   2   2  96   0   0 2018-11-24 08:48:04
 0  0        57916      3015740        19460       771604    0    0     0 302681 8140 5966   1   2  97   0   0 2018-11-24 08:48:07
 3  0        57916      3015012        19460       771608    0    0     0 302124 9481 6936   2   2  96   0   0 2018-11-24 08:48:10
 0  0        57916      3015100        19468       771608    0    0     0 302512 7557 5135   1   2  97   0   0 2018-11-24 08:48:13
