procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  0            0      2774876        46036       995984    0    0 17081    35 7292 5144   4  16  76   5   0 2018-12-01 00:12:41
 2  0            0      2774296        46088       996056    0    0 15889    33 6407 4328   3  15  76   5   0 2018-12-01 00:12:44
 1  0            0      2773428        47168       996088    0    0 18181    43 7225 5004   4  16  75   5   0 2018-12-01 00:12:47
 2  0            0      2775280        46252       996200    0    0 17168    29 6614 4524   4  16  75   5   0 2018-12-01 00:12:50
 0  1            0      2773912        46216       996084    0    0 15931    29 6260 4216   3  16  76   5   0 2018-12-01 00:12:53
 0  1            0      2774276        46260       996132    0    0 15512    37 7319 5318   3  16  76   5   0 2018-12-01 00:12:56
 3  0            0      2783556        46296       995944    0    0 15880    29 6210 4055   3  14  78   4   0 2018-12-01 00:12:59
 0  0            0      2360816        46296      1404648    0    0   352 166912 4173 3144   2   5  93   0   0 2018-12-01 00:13:02
 2  0            0      2360840        46308      1404652    0    0     0 307885 6363 5137   1   2  97   0   0 2018-12-01 00:13:05
 0  0            0      2360056        46308      1404656    0    0     0 309632 6366 5053   2   3  96   0   0 2018-12-01 00:13:08
 0  0            0      2360160        46316      1404660    0    0     0 309551 6455 5074   2   2  96   0   0 2018-12-01 00:13:11
 1  0            0      2360044        46316      1404660    0    0     0 306773 6478 4990   1   2  96   0   0 2018-12-01 00:13:14
 0  0            0      2359788        46324      1404660    0    0     0 306308 6337 5029   2   2  96   0   0 2018-12-01 00:13:17
 0  0            0      2359732        46324      1404664    0    0     0 306219 6304 5011   1   2  96   0   0 2018-12-01 00:13:20
 1  0            0      2360012        46332      1404668    0    0     0 306308 6403 5079   1   3  96   0   0 2018-12-01 00:13:23
 0  0            0      2359880        46332      1404668    0    0     0 308395 6310 5037   2   3  96   0   0 2018-12-01 00:13:26
 0  0            0      2359572        46340      1404668    0    0     0 304983 10024 8560   1   2  97   0   0 2018-12-01 00:13:29
 1  0            0      2359644        46340      1404668    0    0     0 307243 6699 5046   2   2  96   0   0 2018-12-01 00:13:32
 0  0            0      2359636        46356      1404672    0    0     0 308763 7081 5746   1   2  96   0   0 2018-12-01 00:13:35
 0  0            0      2359692        46356      1404672    0    0     0 307669 6286 5004   1   3  96   0   0 2018-12-01 00:13:38
 0  0            0      2359496        46364      1404676    0    0     0 305119 7161 5896   2   3  96   0   0 2018-12-01 00:13:41
 1  0            0      2359488        46364      1404676    0    0     0 310187 6344 5052   1   2  96   0   0 2018-12-01 00:13:44
 0  0            0      2359884        46372      1404676    0    0     0 307204 6386 5025   1   2  96   0   0 2018-12-01 00:13:47
 0  0            0      2359752        46372      1404688    0    0     0 307072 6315 5023   1   2  97   0   0 2018-12-01 00:13:50
 1  0            0      2359992        46380      1404688    0    0     0 306521 6369 5070   2   2  96   0   0 2018-12-01 00:13:53
 0  0            0      2360396        46380      1404688    0    0     0 304213 6304 5003   1   2  96   0   0 2018-12-01 00:13:56
 0  0            0      2360388        46388      1404688    0    0     0 306735 6334 5035   1   2  96   0   0 2018-12-01 00:13:59
 1  0            0      2360388        46388      1404688    0    0     0 305920 6557 5051   1   2  96   0   0 2018-12-01 00:14:02
 0  0            0      2360388        46396      1404692    0    0     0 304952 6499 5162   1   2  96   0   0 2018-12-01 00:14:05
 1  0            0      2359536        46396      1404696    0    0     0 305621 6454 4986   2   2  96   0   0 2018-12-01 00:14:08
 0  0            0      2360104        46404      1404696    0    0     0 302181 6455 5249   1   2  96   0   0 2018-12-01 00:14:11
 0  0            0      2359964        46404      1404696    0    0     0 302995 7053 5856   1   2  96   0   0 2018-12-01 00:14:14
 1  0            0      2359992        46412      1404696    0    0     0 302904 6757 5129   2   2  96   0   0 2018-12-01 00:14:17
 0  0            0      2360128        46412      1404696    0    0     0 306176 7407 5010   1   2  97   0   0 2018-12-01 00:14:20
 1  0            0      2359940        46420      1404700    0    0     0 304857 6531 5022   1   3  96   0   0 2018-12-01 00:14:23
