Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
608           W    3                     0.002%            0.000%
576           W    3                     0.002%            0.000%
560           W    3                     0.002%            0.000%
552           W    3                     0.002%            0.000%
528           W    3                     0.002%            0.000%
512           W    3                     0.002%            0.000%
464           W    3                     0.002%            0.000%
42            W    3                     0.002%            0.000%
41            W    3                     0.002%            0.000%
328           W    3                     0.002%            0.000%
224           W    3                     0.002%            0.000%
216           W    3                     0.002%            0.000%
208           W    3                     0.002%            0.000%
192           W    3                     0.002%            0.000%
184           W    3                     0.002%            0.000%
912           W    2                     0.001%            0.000%
800           W    2                     0.001%            0.000%
712           W    2                     0.001%            0.000%
704           W    2                     0.001%            0.000%
688           W    2                     0.001%            0.000%
680           W    2                     0.001%            0.000%
648           W    2                     0.001%            0.000%
624           W    2                     0.001%            0.000%
616           W    2                     0.001%            0.000%
53            W    2                     0.001%            0.000%
50            W    2                     0.001%            0.000%
504           W    2                     0.001%            0.000%
472           W    2                     0.001%            0.000%
43            W    2                     0.001%            0.000%
392           W    2                     0.001%            0.000%
384           W    2                     0.001%            0.000%
352           W    2                     0.001%            0.000%
320           W    2                     0.001%            0.000%
304           W    2                     0.001%            0.000%
296           W    2                     0.001%            0.000%
272           W    2                     0.001%            0.000%
176           W    2                     0.001%            0.000%
168           W    2                     0.001%            0.000%
152           W    2                     0.001%            0.000%
880           W    1                     0.001%            0.000%
864           W    1                     0.001%            0.000%
840           W    1                     0.001%            0.000%
832           W    1                     0.001%            0.000%
808           W    1                     0.001%            0.000%
632           W    1                     0.001%            0.000%
60            W    1                     0.001%            0.000%
600           W    1                     0.001%            0.000%
584           W    1                     0.001%            0.000%
55            W    1                     0.001%            0.000%
54            W    1                     0.001%            0.000%
52            W    1                     0.001%            0.000%
520           W    1                     0.001%            0.000%
51            W    1                     0.001%            0.000%
49            W    1                     0.001%            0.000%
46            W    1                     0.001%            0.000%
45            W    1                     0.001%            0.000%
336           W    1                     0.001%            0.000%
312           W    1                     0.001%            0.000%
288           W    1                     0.001%            0.000%
264           W    1                     0.001%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 579264         [ 76.578%]
Total write I/Os: 177171         [ 23.422%]
Total read sectors : 31237182    [ 16.907%,   15252.530MB]
Total write sectors: 153524961   [ 83.093%,   74963.360MB]
