Linux 4.4.132-0404132-generic (pl2) 	2018-11-01 	_x86_64_	(24 CPU)

08:51:31 AM   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  Command

08:51:34 AM   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  Command

08:51:37 AM   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  Command

08:51:40 AM   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  Command
08:51:43 AM  1000     12572         -   10.00    1.67    0.00   11.67    23  /usr/bin/java -classpath /tmp/ycsb-rocksdb/apache-maven-3.5.4/boot/plexus-classworlds-2.5.2.jar -Dclassworlds.conf=/tmp/ycsb-ro
08:51:43 AM  1000         -     12588    5.67    1.00    0.00    6.67    11  |__/usr/bin/java -classpath /tmp/ycsb-rocksdb/apache-maven-3.5.4/boot/plexus-classworlds-2.5.2.jar -Dclassworlds.conf=/tmp/ycsb-ro
08:51:43 AM  1000         -     12619    0.67    0.00    0.00    0.67    10  |__/usr/bin/java -classpath /tmp/ycsb-rocksdb/apache-maven-3.5.4/boot/plexus-classworlds-2.5.2.jar -Dclassworlds.conf=/tmp/ycsb-ro
08:51:43 AM  1000         -     12620    0.67    0.00    0.00    0.67     7  |__/usr/bin/java -classpath /tmp/ycsb-rocksdb/apache-maven-3.5.4/boot/plexus-classworlds-2.5.2.jar -Dclassworlds.conf=/tmp/ycsb-ro
08:51:43 AM  1000         -     12621    0.67    0.00    0.00    0.67    21  |__/usr/bin/java -classpath /tmp/ycsb-rocksdb/apache-maven-3.5.4/boot/plexus-classworlds-2.5.2.jar -Dclassworlds.conf=/tmp/ycsb-ro
08:51:43 AM  1000         -     12622    0.67    0.00    0.00    0.67    18  |__/usr/bin/java -classpath /tmp/ycsb-rocksdb/apache-maven-3.5.4/boot/plexus-classworlds-2.5.2.jar -Dclassworlds.conf=/tmp/ycsb-ro
08:51:43 AM  1000         -     57337    0.33    0.00    0.00    0.33     5  |__/opt/conda/bin/python /opt/conda/bin/jupyter-notebook 

08:51:43 AM   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  Command
08:51:46 AM  1000     12572         -  237.33   11.33    0.00  248.67    23  /usr/bin/java -classpath /tmp/ycsb-rocksdb/apache-maven-3.5.4/boot/plexus-classworlds-2.5.2.jar -Dclassworlds.conf=/tmp/ycsb-ro
08:51:46 AM  1000         -     12588   48.33    5.67    0.00   54.00    11  |__/usr/bin/java -classpath /tmp/ycsb-rocksdb/apache-maven-3.5.4/boot/plexus-classworlds-2.5.2.jar -Dclassworlds.conf=/tmp/ycsb-ro
