Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
976           W    39                    0.009%            0.006%
544           W    39                    0.009%            0.006%
440           W    38                    0.009%            0.005%
33            W    38                    0.009%            0.005%
608           W    37                    0.009%            0.005%
616           W    36                    0.008%            0.005%
464           W    36                    0.008%            0.005%
34            W    36                    0.008%            0.005%
880           W    35                    0.008%            0.005%
720           W    35                    0.008%            0.005%
29            W    35                    0.008%            0.005%
872           W    34                    0.008%            0.005%
752           W    34                    0.008%            0.005%
840           W    33                    0.008%            0.005%
600           W    32                    0.007%            0.005%
568           W    32                    0.007%            0.005%
832           W    31                    0.007%            0.004%
31            W    31                    0.007%            0.004%
30            W    31                    0.007%            0.004%
912           W    30                    0.007%            0.004%
736           W    30                    0.007%            0.004%
36            W    30                    0.007%            0.004%
992           W    29                    0.007%            0.004%
800           W    29                    0.007%            0.004%
1008          W    29                    0.007%            0.004%
744           W    28                    0.006%            0.004%
456           W    28                    0.006%            0.004%
35            W    28                    0.006%            0.004%
848           W    27                    0.006%            0.004%
576           W    26                    0.006%            0.004%
560           W    26                    0.006%            0.004%
696           W    25                    0.006%            0.004%
592           W    25                    0.006%            0.004%
688           W    24                    0.006%            0.003%
864           W    23                    0.005%            0.003%
584           W    23                    0.005%            0.003%
856           W    21                    0.005%            0.003%
552           W    21                    0.005%            0.003%
37            W    20                    0.005%            0.003%
712           W    18                    0.004%            0.003%
944           W    17                    0.004%            0.002%
680           W    17                    0.004%            0.002%
41            W    17                    0.004%            0.002%
38            W    17                    0.004%            0.002%
704           W    15                    0.003%            0.002%
728           W    14                    0.003%            0.002%
960           W    13                    0.003%            0.002%
808           W    13                    0.003%            0.002%
39            W    12                    0.003%            0.002%
42            W    9                     0.002%            0.001%
47            W    8                     0.002%            0.001%
1             R    8                     0.003%            0.001%
45            W    7                     0.002%            0.001%
43            W    6                     0.001%            0.001%
51            W    5                     0.001%            0.001%
50            W    5                     0.001%            0.001%
46            W    5                     0.001%            0.001%
44            W    5                     0.001%            0.001%
52            W    4                     0.001%            0.001%
61            W    3                     0.001%            0.000%
57            W    3                     0.001%            0.000%
54            W    3                     0.001%            0.000%
49            W    3                     0.001%            0.000%
63            W    2                     0.000%            0.000%
53            W    2                     0.000%            0.000%
60            W    1                     0.000%            0.000%
58            W    1                     0.000%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 267407         [ 38.234%]
Total write I/Os: 431997         [ 61.766%]
Total read sectors : 75964416    [ 16.870%,   37092.000MB]
Total write sectors: 374341709   [ 83.130%,  182784.038MB]
