seconds,utilization (KB),
1320,2667348,
1323,2667348,
1326,2667348,
1329,2667356,
1332,2667364,
1335,2667372,
1338,2667380,
1341,2667356,
1344,2667364,
1347,2667496,
1350,2667348,
1353,2667372,
1356,2667504,
1359,2667448,
1362,2667440,
1365,2667408,
1368,2667408,
1371,2667424,
1374,2667432,
1377,2667416,
1380,2667416,
1383,2667408,
1386,2667532,
1389,2667532,
1392,2667532,
1395,2667532,
1398,2667532,
1401,2667532,
1404,2667408,
1407,2667408,
1410,2667416,
1413,2667408,
1416,2667408,
1419,2667448,
1422,2667480,
1425,2667472,
1428,2667480,
1431,2667472,
1434,2667596,
1437,2667604,
1440,2667464,
1443,2667464,
1446,2667456,
1449,2667324,
1452,2667324,
1455,2667456,
1458,2667448,
1461,2667448,
1464,2667448,
1467,2667456,
1470,2667448,
1473,2667472,
1476,2667448,
1479,2667540,
1482,2667540,
1485,2667540,
1488,2667572,
1491,2667580,
1494,2667472,
1497,2667456,
1500,2667488,
1503,2667432,
1506,2667416,
1509,2667424,
1512,2667416,
1515,2667308,
1518,2667324,
1521,2667304,
1524,2667288,
1527,2667304,
1530,2667312,
1533,2667288,
1536,2667304,
1539,2667444,
1542,2667396,
1545,2667412,
1548,2667412,
1551,2667404,
1554,2667420,
1557,2667488,
1560,2667388,
1563,2667504,
1566,2667520,
1569,2667536,
1572,2667496,
1575,2667528,
1578,2667536,
1581,2667504,
1584,2667536,
1587,2667544,
1590,2667536,
1593,2667536,
1596,2667536,
1599,2667536,
1602,2667528,
1605,2667536,
1608,2667512,
1611,2667504,
1614,2667512,
1617,2667504,
1620,2667380,
1623,2667504,
1626,2667504,
1629,2667504,
1632,2667512,
1635,2667472,
1638,2667472,
1641,2667496,
1644,2667504,
1647,2667620,
1650,2667636,
1653,2667628,
1656,2668380,
1659,2668404,
1662,2668288,
1665,2668256,
1668,2668256,
1671,2668288,
1674,2668280,
1677,2668328,
1680,2668180,
1683,2668204,
1686,2668196,
1689,2668164,
1692,2668220,
1695,2668164,
1698,2668100,
1701,2668100,
1704,2668132,
1707,2668132,
1710,2668132,
1713,2668280,
1716,2668288,
1719,2668404,
1722,2668404,
1725,2668412,
1728,2668312,
1731,2668280,
1734,2668232,
1737,2668256,
1740,2668388,
1743,2668404,
1746,2668364,
1749,2668372,
1752,2668388,
1755,2668396,
1758,2668372,
1761,2668388,
1764,2668372,
1767,2668388,
1770,2668404,
1773,2668372,
1776,2668372,
1779,2668528,
1782,2668528,
1785,2668552,
1788,2668552,
1791,2668528,
1794,2668560,
1797,2668792,
1800,2668668,
1803,2668536,
1806,2668504,
1809,2668512,
1812,2668504,
1815,2668480,
1818,2668496,
1821,2668512,
1824,2668496,
1827,2668512,
1830,2668520,
1833,2668496,
1836,2668528,
1839,2668560,
1842,2668536,
1845,2668488,
1848,2668536,
1851,2668552,
1854,2668536,
1857,2668568,
1860,2668576,
1863,2668568,
1866,2668568,
1869,2668576,
1872,2263332,
1875,2269896,
1878,579148,
1881,972592,
1884,1139616,
1887,1383832,
1890,1581064,
1893,1625488,
1896,1163704,
1899,1427832,
1902,1540712,
1905,1675148,
1908,1760680,
1911,1845588,
1914,1929832,
1917,1776912,
1920,1858788,
1923,1942560,
1926,2032180,
1929,2116440,
1932,2204288,
1935,2493872,
1938,2271484,
1941,2332808,
1944,2410716,
1947,2496704,
1950,2582612,
1953,2933460,
1956,2709416,
1959,2776132,
1962,2835024,
1965,2897104,
1968,3083364,
1971,3213128,
1974,3038700,
1977,3116944,
1980,3172148,
1983,3241556,
1986,3541340,
1989,3262328,
1992,3348964,
1995,3403896,
1998,3464016,
2001,3684880,
2004,3722668,
2007,3598116,
2010,3666364,
2013,3728656,
2016,3774280,
2019,3990468,
2022,3914552,
2025,3838788,
2028,3902072,
2031,3958372,
2034,4056580,
2037,4180556,
2040,4108488,
2043,4160544,
2046,4215100,
2049,4280232,
2052,4377040,
2055,4301468,
2058,4363548,
2061,4410484,
2064,4465560,
2067,4524716,
2070,4597992,
2073,4594688,
2076,4664768,
2079,4726460,
2082,4799736,
2085,4853568,
2088,5167764,
2091,5189680,
2094,4994244,
2097,5058612,
2100,5108452,
2103,5172884,
2106,5148028,
2109,5132136,
2112,5188140,
2115,5240516,
2118,5302032,
2121,5512888,
2124,5390504,
2127,5438128,
2130,5487444,
2133,5546360,
2136,5617900,
2139,5891808,
2142,5897092,
2145,5755904,
2148,5811324,
2151,5876544,
2154,5951428,
2157,6249092,
2160,5999536,
2163,6058240,
2166,6113948,
2169,6172532,
2172,6241620,
2175,6346292,
2178,6268656,
2181,6333216,
2184,6386404,
2187,6434220,
2190,6496484,
2193,6590044,
2196,6533492,
2199,6578636,
2202,6638488,
2205,6697440,
2208,6758192,
2211,7071068,
2214,6796364,
2217,6845912,
2220,6894852,
2223,6956884,
2226,7170212,
2229,7208432,
2232,7057320,
2235,7104252,
2238,7151252,
2241,7214160,
2244,7446388,
2247,7210476,
2250,7275008,
2253,7342880,
2256,7421796,
2259,7487068,
2262,7775828,
2265,7462548,
2268,7515036,
2271,7570244,
2274,7624336,
2277,7678756,
2280,7992208,
2283,7727004,
2286,7796136,
2289,7849616,
2292,7919288,
2295,7981672,
2298,8162900,
2301,7960104,
2304,8010132,
2307,8078440,
2310,8139244,
2313,8330284,
2316,8379552,
2319,8310224,
2322,8360944,
2325,8411420,
2328,8465796,
2331,8757404,
2334,8724464,
2337,8577436,
2340,8629000,
2343,8696572,
2346,8768220,
2349,9083388,
2352,9091684,
2355,8900848,
2358,8951668,
2361,9017104,
2364,9166244,
2367,9226836,
2370,9140096,
2373,9184516,
2376,9229660,
2379,9285716,
2382,9316988,
2385,9556868,
2388,9410452,
2391,9457272,
2394,9504756,
2397,9559608,
2400,9823160,
2403,9916452,
2406,9713856,
2409,9766524,
2412,9829472,
2415,9901448,
2418,10113624,
2421,10176212,
2424,10024608,
2427,10067132,
2430,10117064,
2433,10171308,
2436,10189300,
2439,10177088,
2442,10226100,
2445,10279780,
2448,10345420,
2451,10413796,
2454,10581516,
2457,10439176,
2460,10515160,
2463,10582720,
2466,10660288,
2469,10819000,
2472,10892692,
2475,10696268,
2478,10765252,
2481,10825648,
2484,10874828,
2487,11117492,
2490,11201320,
2493,11022408,
2496,11094228,
2499,11177852,
2502,11403028,
2505,11263128,
2508,11329992,
2511,11386584,
2514,11444020,
2517,11596112,
2520,11454056,
2523,11390068,
2526,11439776,
2529,11490172,
2532,11565796,
2535,11625720,
2538,11600592,
2541,11624932,
2544,11676592,
2547,11733092,
2550,11805216,
2553,12020580,
2556,11997216,
2559,11947380,
2562,11997508,
2565,12056996,
2568,12109004,
2571,12193028,
2574,12180524,
2577,12234340,
2580,12277068,
2583,12327792,
2586,12385464,
2589,12638880,
2592,12388988,
2595,12453052,
2598,12497932,
2601,12553132,
2604,12729980,
2607,12793464,
2610,12651672,
2613,12699956,
2616,12761752,
2619,12847392,
2622,13143132,
2625,13042144,
2628,12944440,
2631,12993364,
2634,13056496,
2637,13122944,
2640,13357496,
2643,13350812,
2646,13212876,
2649,13295892,
2652,13364124,
2655,13421636,
2658,13475344,
2661,13464596,
2664,13518736,
2667,13589236,
2670,13662256,
2673,13779220,
2676,13742076,
2679,13656996,
2682,13709668,
2685,13785316,
2688,13858044,
2691,13930864,
2694,14257108,
2697,13867536,
2700,13920316,
2703,13985116,
2706,14067260,
2709,14135784,
2712,14471704,
2715,14491468,
2718,14290012,
2721,14343528,
2724,14403708,
2727,14576984,
2730,14511656,
2733,14556796,
2736,14607228,
2739,14635992,
2742,14901788,
2745,14885680,
2748,14765856,
2751,14816628,
2754,14878516,
2757,15113592,
2760,15090392,
2763,14955268,
2766,15010860,
2769,15077332,
2772,15278408,
2775,15101476,
2778,15118080,
2781,15182832,
2784,15247788,
2787,15317428,
2790,15369996,
2793,15658536,
2796,15584136,
2799,15394916,
2802,15467252,
2805,15532140,
2808,15693380,
2811,16060932,
2814,16238976,
2817,16407260,
2820,16760388,
2823,17144960,
2826,17772172,
2829,18047076,
2832,18133756,
2835,18192636,
2838,18258780,
2841,18325288,
2844,18332288,
2847,18393640,
2850,18448220,
2853,18512804,
2856,18574540,
2859,18517184,
2862,18511300,
2865,18575572,
2868,18631384,
2871,18688200,
2874,18923296,
2877,18894876,
2880,18775724,
2883,18832572,
2886,18889412,
2889,18965248,
2892,19170444,
2895,19209580,
2898,19070840,
2901,19123892,
2904,19173792,
2907,19229476,
2910,19524116,
2913,19424292,
2916,19342700,
2919,19394220,
2922,19461568,
2925,19534884,
2928,19769088,
2931,19634520,
2934,19629564,
2937,19693560,
2940,19757700,
2943,20054628,
2946,19923916,
2949,19785232,
2952,19846132,
