seconds,utilization (KB),
0,40909012,
3,40912368,
6,40916176,
9,40920300,
12,40924444,
15,40927608,
18,40932072,
21,40936216,
24,40940292,
27,40944448,
30,40949268,
33,40954120,
36,40959056,
39,40964032,
42,40968720,
45,40973092,
48,40977524,
51,40981524,
54,40986204,
57,40990452,
60,40994380,
63,40998884,
66,41003440,
69,41007024,
72,41011376,
75,41015796,
78,41020220,
81,41024344,
84,41028528,
87,41032900,
90,41036712,
93,41041028,
96,41045328,
99,41049832,
102,41054760,
105,41059628,
108,41063408,
111,41068772,
114,41073500,
117,41078376,
120,41082924,
123,41087552,
126,41092108,
129,41096720,
132,41101192,
135,41105276,
138,41110120,
141,41114700,
144,41119428,
147,41123884,
150,41128604,
153,41133680,
156,41138276,
159,41142980,
162,41148188,
165,41145944,
168,41190464,
171,41252428,
174,41314152,
177,41371004,
180,41404532,
183,41474104,
186,41498964,
189,41525160,
192,41554500,
195,41582904,
198,41611780,
201,41642440,
204,41672544,
207,41703836,
210,41736000,
213,41767344,
216,41754296,
219,41826992,
222,41850388,
225,41874896,
228,41900792,
231,41926752,
234,41952996,
237,41980084,
240,42007336,
243,42035416,
246,42064008,
249,42091204,
252,42076812,
255,42149912,
258,42217764,
261,42288768,
264,42363244,
267,42436808,
270,42448292,
273,42453628,
276,42507880,
279,42573372,
282,42639304,
285,42706080,
288,42765080,
291,42764544,
294,42842616,
297,42913652,
300,42977340,
303,43041896,
306,43107484,
309,43169736,
312,43230488,
315,43296836,
318,43362704,
321,43422720,
324,43485408,
327,43543904,
330,43605300,
333,43670588,
336,43730616,
339,43789892,
342,43855620,
345,43921208,
348,43987308,
351,44052780,
354,44019848,
357,44054904,
360,44115808,
363,44179020,
366,44238184,
369,44301740,
372,44367644,
375,44429484,
378,44495572,
381,44561388,
384,44627552,
387,44693184,
390,44759920,
393,44828528,
396,44896348,
399,44964964,
402,45029868,
405,45099828,
408,45196636,
411,45264760,
414,45280600,
417,45280616,
420,45294704,
423,45294800,
426,45295544,
429,45295988,
432,45296724,
435,45297468,
438,45298668,
441,45299744,
444,45300968,
447,45302096,
450,45302584,
453,45303748,
456,45304980,
459,45306064,
462,45307368,
465,45308428,
468,45309684,
471,45310808,
474,45311924,
477,45313172,
480,45314288,
483,45315784,
486,45317188,
489,45317264,
492,45317172,
495,45317016,
498,45316924,
501,45316808,
504,45316840,
507,45316808,
510,45316840,
513,45316808,
516,45317184,
519,45317144,
522,45317052,
525,45317036,
528,45317052,
531,45317036,
534,45317044,
537,45317036,
540,45317044,
543,45317036,
546,45317044,
549,45317160,
552,45317168,
