Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
384           W    3                     0.002%            0.000%
376           W    3                     0.002%            0.000%
344           W    3                     0.002%            0.000%
288           W    3                     0.002%            0.000%
192           W    3                     0.002%            0.000%
168           W    3                     0.002%            0.000%
800           W    2                     0.001%            0.000%
688           W    2                     0.001%            0.000%
672           W    2                     0.001%            0.000%
608           W    2                     0.001%            0.000%
576           W    2                     0.001%            0.000%
544           W    2                     0.001%            0.000%
536           W    2                     0.001%            0.000%
488           W    2                     0.001%            0.000%
480           W    2                     0.001%            0.000%
47            W    2                     0.001%            0.000%
448           W    2                     0.001%            0.000%
41            W    2                     0.001%            0.000%
336           W    2                     0.001%            0.000%
320           W    2                     0.001%            0.000%
232           W    2                     0.001%            0.000%
208           W    2                     0.001%            0.000%
152           W    2                     0.001%            0.000%
136           W    2                     0.001%            0.000%
992           W    1                     0.001%            0.000%
944           W    1                     0.001%            0.000%
912           W    1                     0.001%            0.000%
864           W    1                     0.001%            0.000%
776           W    1                     0.001%            0.000%
704           W    1                     0.001%            0.000%
656           W    1                     0.001%            0.000%
640           W    1                     0.001%            0.000%
62            W    1                     0.001%            0.000%
624           W    1                     0.001%            0.000%
60            W    1                     0.001%            0.000%
600           W    1                     0.001%            0.000%
560           W    1                     0.001%            0.000%
51            W    1                     0.001%            0.000%
496           W    1                     0.001%            0.000%
464           W    1                     0.001%            0.000%
45            W    1                     0.001%            0.000%
456           W    1                     0.001%            0.000%
43            W    1                     0.001%            0.000%
392           W    1                     0.001%            0.000%
360           W    1                     0.001%            0.000%
352           W    1                     0.001%            0.000%
328           W    1                     0.001%            0.000%
312           W    1                     0.001%            0.000%
264           W    1                     0.001%            0.000%
176           W    1                     0.001%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 679882         [ 79.478%]
Total write I/Os: 175549         [ 20.522%]
Total read sectors : 34627102    [ 18.525%,   16907.765MB]
Total write sectors: 152292602   [ 81.475%,   74361.622MB]
