seconds,utilization (KB),
0,3139732,
3,3125732,
6,3134984,
9,1160584,
12,1161488,
15,1162572,
18,1161580,
21,1162464,
24,1162288,
27,1160956,
30,1160228,
33,1161492,
36,1162620,
39,1163228,
42,1163396,
45,1161680,
48,1161956,
51,1160840,
54,1160320,
57,1161480,
60,1162264,
63,1159616,
66,1163476,
69,1164032,
72,1162760,
75,1160852,
78,1163364,
81,1164584,
84,1162892,
87,1160748,
90,1163068,
93,1161816,
96,1160444,
99,1159444,
102,1575784,
105,1573164,
108,1572480,
111,1571828,
114,1570960,
117,1569888,
120,1569560,
123,1568768,
126,1568464,
129,1568264,
132,1571128,
135,1568460,
138,1567136,
141,1566260,
144,1565384,
147,1564376,
150,1563792,
153,1563596,
156,1563628,
159,1563348,
162,1564100,
165,1565072,
168,1564260,
171,1563656,
174,1563228,
177,1562908,
180,1562512,
183,1562512,
186,1562512,
189,1562512,
192,1562512,
195,1566852,
198,1565928,
201,1565236,
204,1564984,
207,1564348,
210,1563804,
213,1563424,
216,1563136,
219,1562900,
222,1562652,
225,1567160,
228,1566588,
231,1565840,
234,1565144,
237,1564920,
240,1564640,
243,1564540,
246,1564424,
249,1564432,
252,1564428,
255,1568488,
258,1567760,
261,1567296,
264,1566904,
267,1566516,
270,1566276,
273,1566004,
276,1565748,
279,1565600,
282,1565608,
285,1567832,
288,1566932,
291,1566380,
294,1566192,
297,1566068,
300,1565804,
303,1565604,
306,1565604,
309,1565596,
312,1565584,
315,1567204,
318,1566412,
321,1565976,
324,1565968,
327,1565728,
330,1565596,
333,1565472,
336,1565364,
339,1565224,
342,1565108,
345,1567736,
348,1567224,
351,1567052,
354,1566556,
357,1566296,
360,1566164,
363,1566052,
366,1565904,
369,1565928,
372,1565828,
375,1567228,
378,1566216,
381,1565240,
384,1564644,
387,1564088,
390,1563948,
393,1563692,
396,1564056,
399,1563408,
402,1562808,
405,1567404,
408,1566772,
411,1566412,
414,1566312,
417,1565884,
420,1565092,
423,1564952,
426,1564968,
429,1565000,
432,1564952,
435,1567656,
438,1566648,
441,1566352,
444,1566400,
447,1565888,
450,1565928,
453,1565648,
456,1565524,
459,1565340,
462,1565212,
465,1568064,
468,1567616,
471,1567032,
474,1566884,
477,1566652,
480,1566520,
483,1566272,
486,1566212,
489,1566112,
492,1565964,
495,1570332,
498,1567292,
501,1566816,
504,1566384,
507,1566120,
510,1566044,
513,1565864,
516,1565828,
519,1565804,
522,1565836,
525,1568496,
528,1567384,
531,1566712,
534,1566336,
537,1565648,
540,1565096,
543,1564752,
546,1564732,
549,1564640,
552,1564648,
555,1569160,
558,1566588,
561,1566036,
564,1566048,
567,1565784,
570,1565800,
573,1565628,
576,1565636,
579,1565568,
582,1565544,
585,1567900,
588,1568040,
591,1567604,
594,1567388,
597,1567244,
600,1567072,
603,1566872,
606,1566832,
609,1566764,
612,1566748,
615,1566632,
618,1568976,
621,1568612,
624,1568308,
627,1568212,
630,1568124,
633,1568088,
636,1568000,
639,1568044,
642,1567956,
645,1568044,
648,1570372,
651,1569464,
654,1569052,
657,1568728,
660,1568340,
663,1568032,
666,1567920,
669,1567896,
672,1567772,
675,1567764,
678,1570152,
681,1569840,
684,1569536,
687,1569180,
690,1569072,
693,1569024,
696,1568636,
699,1568544,
702,1568408,
705,1568392,
708,1569464,
711,1568556,
714,1568236,
717,1567968,
720,1567812,
723,1567688,
726,1567688,
729,1567408,
732,1567488,
735,1567192,
738,1568872,
741,1567948,
744,1567652,
747,1567640,
750,1567640,
753,1567656,
756,1567616,
759,1567532,
762,1567452,
765,1567532,
768,1570260,
771,1569256,
774,1568828,
777,1568500,
780,1568484,
783,1568416,
786,1568392,
789,1568236,
792,1568212,
795,1568168,
798,1571356,
801,1570744,
804,1570436,
807,1570152,
810,1569912,
813,1569648,
816,1569560,
819,1569444,
822,1569428,
825,1569184,
828,1570796,
831,1570048,
834,1569940,
837,1569560,
840,1569288,
843,1569008,
846,1569048,
849,1568768,
852,1568800,
855,1568504,
858,1568932,
861,1567460,
864,1567432,
867,1567296,
870,1567296,
873,1567220,
876,1567212,
879,1567220,
882,1567088,
885,1566864,
888,1568124,
891,1567920,
894,1566992,
897,1566332,
900,1565724,
903,1565260,
906,1565144,
909,1564988,
912,1564832,
915,1564708,
918,1568596,
921,1566628,
924,1566156,
927,1565816,
930,1565708,
933,1565492,
936,1565508,
939,1565452,
942,1565468,
945,1565328,
948,1569816,
951,1568096,
954,1567876,
957,1567560,
960,1567412,
963,1567296,
966,1567032,
969,1566908,
972,1566700,
975,1566532,
978,1569168,
981,1567348,
984,1582772,
987,1582252,
990,1582136,
993,1581948,
996,1581840,
999,1581384,
1002,1580900,
1005,1580908,
1008,1592792,
1011,1584160,
1014,1582944,
1017,1581840,
1020,1581120,
1023,1580472,
1026,1580052,
1029,1579836,
1032,1579844,
1035,1579728,
1038,1579432,
1041,1583284,
1044,1583144,
1047,1582740,
1050,1582552,
1053,1582276,
1056,1582308,
1059,1583088,
1062,1582344,
1065,1582204,
1068,1582096,
1071,1585608,
1074,1585104,
1077,1584960,
1080,1584968,
1083,1585124,
1086,1585140,
1089,1585072,
1092,1585008,
1095,1585080,
1098,1585024,
1101,1585612,
1104,1585212,
1107,1584984,
1110,1584984,
1113,1584628,
1116,1584628,
1119,1584636,
1122,1584620,
1125,1584652,
1128,1584628,
1131,1587364,
1134,1586688,
1137,1586440,
1140,1586128,
1143,1586012,
1146,1585888,
1149,1585880,
1152,1585808,
1155,1585596,
1158,1585480,
1161,1587636,
1164,1586548,
1167,1585960,
1170,1585464,
1173,1585084,
1176,1584964,
1179,1584916,
1182,1584996,
1185,1584948,
1188,1584972,
1191,1585136,
1194,1584308,
1197,1584184,
1200,1584076,
1203,1584036,
1206,1583796,
1209,1583516,
1212,1583300,
1215,1583176,
1218,1583012,
1221,1584840,
1224,1584676,
1227,1584552,
1230,1584452,
1233,1584328,
1236,1584212,
1239,1584212,
1242,1583956,
1245,1583956,
1248,1583956,
1251,1586380,
1254,1586040,
1257,1585932,
1260,1585808,
1263,1585684,
1266,1585560,
1269,1585560,
1272,1585436,
1275,1585344,
1278,1584848,
1281,1585972,
1284,1585556,
1287,1585400,
1290,1585196,
1293,1585204,
